"desc","zip","title"
"BRADFIELD RD & SUSQUEHANNA RD; ABINGTON; 2020-01-01 @ 00:04:06",19001,"Fire: FIRE ALARM"
"ROLAND ST & CHESTNUT ST;  POTTSTOWN; 2020-01-01 @ 07:43:55",19464,"EMS: HEMORRHAGING"
"VALLEY FORGE RD & BOYD AVE;  UPPER GWYNEDD; 2020-01-01 @ 07:45:03",19446,"EMS: NAUSEA/VOMITING"
"MAURICE LN & EMMA WAY;  HORSHAM; 2020-01-01 @ 07:55:27",19040,"EMS: CARBON MONOXIDE DETECTOR"
"RIDGE PIKE & ASH LN;  WHITEMARSH; 2020-01-01 @ 08:00:32",19444,"EMS: CHOKING"
"BUTLER PIKE & TALLY HO DR;  UPPER DUBLIN; 2020-01-01 @ 08:02:35",19002,"EMS: CHOKING"
"HOLLY DR & WILLOW LN; NEW HANOVER; 2020-01-01 @ 08:07:59",19525,"Fire: FIRE ALARM"
"SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 08:06:14",19403,"EMS: HEAD INJURY"
"STENTON AVE & NEWTON ST;  SPRINGFIELD; 2020-01-01 @ 08:25:52",19038,"EMS: UNCONSCIOUS SUBJECT"
"HAWS AVE & W BLACKBERRY ALY;  NORRISTOWN; 2020-01-01 @ 08:23:21",19401,"EMS: ABDOMINAL PAINS"
"SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 08:39:56",19403,"EMS: FALL VICTIM"
"DEKALB PIKE & COLONIAL DR; EAST NORRITON; 2020-01-01 @ 08:44:38",19401,"Fire: ELEVATOR EMERGENCY"
"CAROSAL LN & RED BARN RD;  UPPER MORELAND; 2020-01-01 @ 08:49:39",19090,"EMS: RESPIRATORY EMERGENCY"
"CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2020-01-01 @ 08:55:04",19150,"Traffic: DISABLED VEHICLE"
"BRIDGE ST & SEITZ RD; PERKIOMEN; 2020-01-01 @ 08:58:42",19426,"Fire: FIRE INVESTIGATION"
"MIDDLE SCHOOL DR & DOBBS CT;  LOWER PROVIDENCE; 2020-01-01 @ 09:03:57",19403,"EMS: HEMORRHAGING"
"SHAW AVE & UNNAMED ALY;  LANSDALE; 2020-01-01 @ 09:10:37",19446,"EMS: ABDOMINAL PAINS"
"BELVOIR RD & SANDY HILL RD; PLYMOUTH; 2020-01-01 @ 09:12:24",19462,"Traffic: DISABLED VEHICLE"
"TWIN SILO DR & MORRIS RD;  WHITPAIN; 2020-01-01 @ 09:25:09",19422,"EMS: HEAD INJURY"
"OAKWOOD TER & OAKWOOD DR; LOWER MERION; 2020-01-01 @ 09:21:23",19072,"Fire: FIRE ALARM"
"HOSENSACK RD & GRAVEL PIKE;  UPPER HANOVER; 2020-01-01 @ 09:22:10",18041,"EMS: SUBJECT IN PAIN"
"MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; 2020-01-01 @ 09:22:57",19438,"EMS: SUBJECT IN PAIN"
"MAIN ST & SCHOOL ST;  NORTH WALES; 2020-01-01 @ 09:23:53",19454,"EMS: SUBJECT IN PAIN"
"ORELAND MILL RD AND BARCLAY RD;  SPRINGFIELD; 2020-01-01 @ 09:29:59",19075,"EMS: RESPIRATORY EMERGENCY"
"HOOVER AVE & HIGHLAND AVE;  WEST NORRITON; 2020-01-01 @ 09:28:39",19403,"EMS: SUBJECT IN PAIN"
"PATTERSON AVE & HAINES RD;  EAST NORRITON; 2020-01-01 @ 09:26:21",19401,"EMS: FALL VICTIM"
"BROOKE DR & JOSHUA DR;  LIMERICK; 2020-01-01 @ 09:44:51",19468,"EMS: CARDIAC EMERGENCY"
"HATFIELD PIKE & TOWNSHIP LINE RD; FRANCONIA; 2020-01-01 @ 09:43:57",18964,"Fire: FIRE ALARM"
"E BROAD ST & N COUNTY LINE RD; BUCKS COUNTY; 2020-01-01 @ 09:45:12",18964,"Traffic: VEHICLE ACCIDENT"
"5TH ST & BITTING ALY;  RED HILL; 2020-01-01 @ 09:46:05",18076,"EMS: RESPIRATORY EMERGENCY"
"HOOVER AVE & HIGHLAND AVE;  WEST NORRITON; 2020-01-01 @ 09:55:35",19403,"EMS: GENERAL WEAKNESS"
"DOCK DR & DETWILER RD;  TOWAMENCIN; 2020-01-01 @ 10:02:57",19446,"EMS: SUBJECT IN PAIN"
"CHESTNUT ST & MANATAWNY ST; POTTSTOWN; 2020-01-01 @ 10:04:27",19464,"Fire: FIRE INVESTIGATION"
"MACOBY ST & E 5TH ST;  PENNSBURG; 2020-01-01 @ 10:13:30",18073,"EMS: ABDOMINAL PAINS"
"SUMNEYTOWN PIKE & MERCK GATE 1;  UPPER GWYNEDD; 2020-01-01 @ 10:20:27",19446,"EMS: HEAD INJURY"
"WOODLAWN DR & PIONEER RD;  TOWAMENCIN; 2020-01-01 @ 10:25:50",19446,"EMS: CARDIAC EMERGENCY"
"ARLINE AVE & PERSHING AVE;  ABINGTON; 2020-01-01 @ 10:26:23",19001,"EMS: CARDIAC EMERGENCY"
"SKIPPACK PIKE & MEADOWOOD DR;  WORCESTER; 2020-01-01 @ 10:40:31",19446,"EMS: CARDIAC EMERGENCY"
"WIMBLEDON LN & MOYER RD;  HATFIELD TOWNSHIP; 2020-01-01 @ 10:37:42",19440,"EMS: SYNCOPAL EPISODE"
"KENNY RD & OAKCREST RD; LOWER POTTSGROVE; 2020-01-01 @ 10:41:14",19464,"Fire: BUILDING FIRE"
"SKIPPACK PIKE & MEADOWOOD DR;  WORCESTER; 2020-01-01 @ 10:48:29",19446,"EMS: CHOKING"
"HIGHLAND AVE & BERKS ST;  DOUGLASS; 2020-01-01 @ 10:47:55",19512,"EMS: DIABETIC EMERGENCY"
"LUTHERAN HOME DR & DEAD END;  TELFORD; 2020-01-01 @ 10:46:54",NA,"EMS: SUBJECT IN PAIN"
"CHARLOTTE ST & GRANDVIEW AVE;  NEW HANOVER; 2020-01-01 @ 10:55:49",19464,"EMS: RESPIRATORY EMERGENCY"
"TROTTER LN & GWYNMONT DR;  MONTGOMERY; 2020-01-01 @ 10:58:46",19454,"EMS: BACK PAINS/INJURY"
"10TH AVE & N LEWIS RD; LIMERICK; 2020-01-01 @ 10:58:45",19468,"Traffic: DISABLED VEHICLE"
"KESWICK AVE & SYLVANIA AVE;  ABINGTON; 2020-01-01 @ 11:22:01",19038,"EMS: GENERAL WEAKNESS"
"SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 11:22:41",19403,"EMS: MEDICAL ALERT ALARM"
"BYBERRY AVE & S PENN ST;  HATBORO; 2020-01-01 @ 11:29:30",19040,"EMS: ALTERED MENTAL STATUS"
"5TH ST & MAPLE AVE;  LANSDALE; 2020-01-01 @ 11:28:36",19446,"EMS: CARDIAC EMERGENCY"
"EASTON RD & ANDREA DR;  UPPER MORELAND; 2020-01-01 @ 11:34:44",19090,"EMS: CARDIAC EMERGENCY"
"LIEBERMAN DR & WELSH RD;  LOWER MORELAND; 2020-01-01 @ 11:38:36",19046,"EMS: CARDIAC EMERGENCY"
"AIRY ST & MARCH ALY;  NORRISTOWN; 2020-01-01 @ 11:45:21",19401,"EMS: CARDIAC EMERGENCY"
"LINCOLN AVE & WOOD ALY;  TELFORD; 2020-01-01 @ 11:47:52",18964,"EMS: FALL VICTIM"
"PEEVY RD & WATER ST; UPPER HANOVER; 2020-01-01 @ 11:48:20",18070,"Fire: FIRE ALARM"
"REDCOAT DR & PATRIOT WAY;  WHITEMARSH; 2020-01-01 @ 11:54:53",19031,"EMS: CARDIAC EMERGENCY"
"BUCKMAN DR & MAURICE LN; HORSHAM; 2020-01-01 @ 11:57:52",19040,"Traffic: HAZARDOUS ROAD CONDITIONS"
"STAFFORD DR & PEN AMBLER RD;  LOWER GWYNEDD; 2020-01-01 @ 12:02:08",19002,"EMS: MEDICAL ALERT ALARM"
"NATALIE LN & KENDRICK LN;  NORRISTOWN; 2020-01-01 @ 12:10:39",19401,"EMS: CVA/STROKE"
"FAYETTE ST & E 4TH AVE;  CONSHOHOCKEN; 2020-01-01 @ 12:08:41",19428,"EMS: RESPIRATORY EMERGENCY"
"PENLLYN PIKE & FOXFIELD RD;  LOWER GWYNEDD; 2020-01-01 @ 12:07:36",19002,"EMS: RESPIRATORY EMERGENCY"
"LESLEN LN & PARK AVE;  COLLEGEVILLE; 2020-01-01 @ 12:15:37",19426,"EMS: FALL VICTIM"
"CITY AVE & GOLF RD;  LOWER MERION; 2020-01-01 @ 12:13:40",19131,"EMS: VEHICLE ACCIDENT"
"CITY AVE & GOLF RD; LOWER MERION; 2020-01-01 @ 12:13:41",19131,"Traffic: VEHICLE ACCIDENT"
"FOX HOUND DR & MARBLE HL; WHITEMARSH; 2020-01-01 @ 12:20:10",19444,"Fire: FIRE ALARM"
"TWIN SILO DR & MORRIS RD;  WHITPAIN; 2020-01-01 @ 12:21:11",19422,"EMS: HEAD INJURY"
"JAMIE CT & SKIPPACK PIKE;  WHITPAIN; 2020-01-01 @ 12:24:12",19422,"EMS: ABDOMINAL PAINS"
"COMMUNITY DR & DEAD END;  TOWAMENCIN; 2020-01-01 @ 12:23:32",NA,"EMS: SUBJECT IN PAIN"
"FRETZ RD & SKIPPACK CREEK RD;  LOWER SALFORD; 2020-01-01 @ 12:26:44",18964,"EMS: SEIZURES"
"3RD ST & HECTOR ALY;  TELFORD; 2020-01-01 @ 12:34:03",18969,"EMS: GENERAL WEAKNESS"
"RT422  & RAMP RT422 WB TO EGYPT RD; LOWER PROVIDENCE; 2020-01-01 @ 12:46:40",NA,"Traffic: VEHICLE ACCIDENT"
"HORSHAM RD & DRESHER RD; HORSHAM; 2020-01-01 @ 12:52:14",19044,"Traffic: DISABLED VEHICLE"
"JACKSON AVE & JENKINTOWN RD; ABINGTON; 2020-01-01 @ 13:02:47",19038,"Fire: FIRE ALARM"
"NORRISTOWN RD & TENNIS AVE;  LOWER GWYNEDD; 2020-01-01 @ 13:08:43",19002,"EMS: UNCONSCIOUS SUBJECT"
"RENEL RD & VALLEY RD;  PLYMOUTH; 2020-01-01 @ 13:15:39",19462,"EMS: DEHYDRATION"
"E MONTGOMERY AVE & N YORK RD; HATBORO; 2020-01-01 @ 13:13:34",19040,"Traffic: VEHICLE ACCIDENT"
"SCHUYLKILL AVE & DEKALB ST;  NORRISTOWN; 2020-01-01 @ 13:18:41",19401,"EMS: MEDICAL ALERT ALARM"
"LUXOR LN & KELLY DR; NORRISTOWN; 2020-01-01 @ 13:20:19",19401,"Fire: ELEVATOR EMERGENCY"
"SCHUYLKILL EXPY & RAMP N GULPH RD TO I76 EB;  UPPER MERION; 2020-01-01 @ 13:17:01",NA,"EMS: VEHICLE ACCIDENT"
"SCHUYLKILL EXPY & RAMP N GULPH RD TO I76 EB; UPPER MERION; 2020-01-01 @ 13:16:11",NA,"Traffic: VEHICLE ACCIDENT"
"SCHUYLKILL EXPY & RAMP N GULPH RD TO I76 EB; UPPER MERION; 2020-01-01 @ 13:17:04",NA,"Traffic: VEHICLE ACCIDENT"
"SCHUYLKILL EXPY & RAMP RT202 TO I76 WB;  UPPER MERION; 2020-01-01 @ 13:17:01",NA,"EMS: VEHICLE ACCIDENT"
"SCHUYLKILL EXPY & RAMP RT202 TO I76 WB; UPPER MERION; 2020-01-01 @ 13:16:11",NA,"Traffic: VEHICLE ACCIDENT"
"SCHUYLKILL EXPY & RAMP RT202 TO I76 WB; UPPER MERION; 2020-01-01 @ 13:17:04",NA,"Traffic: VEHICLE ACCIDENT"
"GERMANTOWN PIKE & BRIDLE PATH RD;  EAST NORRITON; 2020-01-01 @ 13:26:14",19403,"EMS: CARDIAC ARREST"
"EDGE HILL RD & ROY AVE; ABINGTON; 2020-01-01 @ 13:28:07",19001,"Traffic: ROAD OBSTRUCTION"
"VALLEY FORGE RD & GENERAL STEUBEN RD;  UPPER MERION; 2020-01-01 @ 13:38:30",19406,"EMS: UNCONSCIOUS SUBJECT"
"UNION MEETING RD & HOOVER RD; WHITPAIN; 2020-01-01 @ 13:44:23",19422,"Traffic: ROAD OBSTRUCTION"
"LINCOLN DR & LINCOLN DR;  UPPER DUBLIN; 2020-01-01 @ 13:49:19",19002,"EMS: SUBJECT IN PAIN"
"PONDVIEW DR & WIND RIPPLE CT;  LOWER SALFORD; 2020-01-01 @ 13:46:50",19438,"EMS: SUBJECT IN PAIN"
"WESTMONT AVE & OAKDALE AVE;  HORSHAM; 2020-01-01 @ 13:56:45",19044,"EMS: CARDIAC ARREST"
"WALNUT ST & W PHILADELPHIA AVE;  BERKS COUNTY; 2020-01-01 @ 13:58:40",19512,"EMS: NAUSEA/VOMITING"
"NORTH WALES RD & HANCOCK RD; UPPER GWYNEDD; 2020-01-01 @ 14:04:19",19454,"Traffic: VEHICLE ACCIDENT"
"HORSHAM RD & PHEASANT RUN;  MONTGOMERY; 2020-01-01 @ 14:10:14",18936,"EMS: HEAD INJURY"
"SHANNONDELL DR & SHANNONDELL BLVD; LOWER PROVIDENCE; 2020-01-01 @ 14:06:21",19403,"Fire: FIRE ALARM"
"SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 14:13:57",19403,"EMS: CVA/STROKE"
"MT MORO RD & OLD GULPH RD; LOWER MERION; 2020-01-01 @ 14:15:12",19085,"Fire: FIRE ALARM"
"SKIPPACK PIKE & MEADOWOOD DR;  WORCESTER; 2020-01-01 @ 14:19:43",19446,"EMS: FALL VICTIM"
"MT MORO RD & OLD GULPH RD; LOWER MERION; 2020-01-01 @ 14:28:17",19085,"Fire: FIRE ALARM"
"SALFORD ST & HARMON RD;  UPPER SALFORD; 2020-01-01 @ 14:28:18",19438,"EMS: FRACTURE"
"RHOADS AVE & MONTGOMERY AVE;  DOUGLASS; 2020-01-01 @ 14:32:13",19512,"EMS: GENERAL WEAKNESS"
"BETHLEHEM PIKE & NORTH WALES RD;  MONTGOMERY; 2020-01-01 @ 14:40:51",19454,"EMS: SYNCOPAL EPISODE"
"TURNBERRY WAY & COWPATH RD;  FRANCONIA; 2020-01-01 @ 14:41:32",18964,"EMS: CARDIAC ARREST"
"TURNBERRY WAY & COWPATH RD; FRANCONIA; 2020-01-01 @ 14:44:48",18964,"Fire: FIRE SPECIAL SERVICE"
"WALNUT ST & N EVANS ST; POTTSTOWN; 2020-01-01 @ 14:45:37",19464,"Traffic: VEHICLE ACCIDENT"
"YORK RD & VISTA RD; JENKINTOWN; 2020-01-01 @ 14:53:47",19046,"Traffic: VEHICLE ACCIDENT"
"YORK RD & VISTA RD; JENKINTOWN; 2020-01-01 @ 14:54:45",19046,"Traffic: VEHICLE ACCIDENT"
"YORK RD & VISTA RD; JENKINTOWN; 2020-01-01 @ 14:52:49",19046,"Traffic: VEHICLE ACCIDENT"
"NOTTOWAY DR & DEAD END;  LOWER GWYNEDD; 2020-01-01 @ 14:56:43",NA,"EMS: FALL VICTIM"
"SUMNEYTOWN PIKE & N BETHLEHEM PIKE; LOWER GWYNEDD; 2020-01-01 @ 14:58:50",19002,"Traffic: VEHICLE ACCIDENT"
"DEKALB PIKE & BRANDYWINE LN;  UPPER MERION; 2020-01-01 @ 15:01:27",19406,"EMS: CARDIAC EMERGENCY"
"CAMP HILL RD & OFFICE CENTER DR;  UPPER DUBLIN; 2020-01-01 @ 15:04:34",19034,"EMS: GENERAL WEAKNESS"
"MARSHALL ST & HIGH ST;  NORRISTOWN; 2020-01-01 @ 15:09:22",19401,"EMS: FEVER"
"SOUTHERN AVE & S SPRING GARDEN ST;  AMBLER; 2020-01-01 @ 15:07:37",19002,"EMS: GENERAL WEAKNESS"
"BEACON CT & CLAREMONT DR;  MONTGOMERY; 2020-01-01 @ 15:27:56",19446,"EMS: UNKNOWN MEDICAL EMERGENCY"
"ROCK GLEN RD & WESTWOOD LN;  LOWER MERION; 2020-01-01 @ 15:28:38",19096,"EMS: SEIZURES"
"ST GEORGES RD & E MONTGOMERY AVE;  LOWER MERION; 2020-01-01 @ 15:33:22",19003,"EMS: GENERAL WEAKNESS"
"SURREY LN & EGYPT RD; LOWER PROVIDENCE; 2020-01-01 @ 15:43:51",19403,"Traffic: DISABLED VEHICLE"
"ANNA LYNN LN & LINDSEY WAY; HORSHAM; 2020-01-01 @ 15:49:49",19044,"Fire: FIRE ALARM"
"THE FAIRWAY  & RYDAL RD;  ABINGTON; 2020-01-01 @ 15:49:08",19046,"EMS: FALL VICTIM"
"APPLEGATE LN & YORKSHIRE RD; DELAWARE COUNTY; 2020-01-01 @ 15:53:30",19010,"Fire: FIRE ALARM"
"SUSQUEHANNA RD & CINNAMON CIR; UPPER DUBLIN; 2020-01-01 @ 15:54:59",19025,"Traffic: ROAD OBSTRUCTION"
"MORRIS RD & HENNING WAY; TOWAMENCIN; 2020-01-01 @ 15:52:21",19446,"Traffic: VEHICLE ACCIDENT"
"BIG RD & N CHARLOTTE ST; NEW HANOVER; 2020-01-01 @ 15:52:04",19525,"Traffic: VEHICLE ACCIDENT"
"BIG RD;  NEW HANOVER; 2020-01-01 @ 15:57:43",NA,"EMS: VEHICLE ACCIDENT"
"MORRIS RD & HENNING WAY;  TOWAMENCIN; 2020-01-01 @ 15:56:01",19446,"EMS: VEHICLE ACCIDENT"
"BIG RD; NEW HANOVER; 2020-01-01 @ 15:57:36",NA,"Fire: VEHICLE ACCIDENT"
"MAIN ST & WOODLAND DR;  LANSDALE; 2020-01-01 @ 16:03:08",19446,"EMS: CARDIAC EMERGENCY"
"PERKIOMEN AVE & 3RD ST;  SCHWENKSVILLE; 2020-01-01 @ 16:09:01",19473,"EMS: DIABETIC EMERGENCY"
"BYBERRY RD & VILLAGE CIR;  UPPER MORELAND; 2020-01-01 @ 16:07:28",19040,"EMS: GENERAL WEAKNESS"
"CROSS RD;  UPPER POTTSGROVE; 2020-01-01 @ 16:15:07",19525,"EMS: CARDIAC ARREST"
"COUNTY LINE RD & TREWIGTOWN RD;  HATFIELD TOWNSHIP; 2020-01-01 @ 16:13:59",19440,"EMS: HEAD INJURY"
"CROSS RD; UPPER POTTSGROVE; 2020-01-01 @ 16:15:24",19525,"Fire: CARDIAC ARREST"
"DISCOVERY DR & WALNUT ST; HATFIELD TOWNSHIP; 2020-01-01 @ 16:23:06",NA,"Fire: FIRE ALARM"
