"desc","zip","title"
"7/1/2019 3:25, DEKALB PIKE & COLONIAL DR, EAST NORRITON, Station 308",19401,"EMS: SUBJECT IN PAIN"
"7/1/2019 3:42, WYNNEWOOD RD & PENN RD, LOWER MERION, Station 26",19096,"Fire: WOODS/FIELD FIRE"
"7/1/2019 3:44, PULASKI DR & CLEARVIEW RD, WHITPAIN, Station 385",19422,"EMS: CVA/STROKE"
"7/1/2019 3:43, COUNTRY SIDE LN & VILLAGE GREEN LN, TELFORD, Station 339",18969,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 4:00, W BUTLER PIKE & STENTON AVE, WHITEMARSH",19462,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 4:02, DEKALB PIKE & SWEDE RD, WHITPAIN, Station 385",19422,"EMS: DIABETIC EMERGENCY"
"7/1/2019 4:16, RIGHTERS FERRY RD & RR OVERPASS, LOWER MERION, Station 313",NA,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 4:22, LATTICE LN & LEVEL RD, LOWER PROVIDENCE, Station 322",19426,"EMS: CARDIAC EMERGENCY"
"7/1/2019 4:32, MONTGOMERY AVE & N JARRETT AVE, ROCKLEDGE, Station 382",19046,"EMS: FALL VICTIM"
"7/1/2019 4:39, LOCUST ST & DOGWOOD DR, NORRISTOWN, Station 308A",19401,"EMS: GENERAL WEAKNESS"
"7/1/2019 4:44, MOUNTAINVIEW AVE & HIGHLAND AVE, SCHWENKSVILLE, Station 73",19473,"Fire: GAS-ODOR/LEAK"
"7/1/2019 4:49, BETHLEHEM PIKE & VALLEY BROOK RD, AMBLER, Station 351",19002,"EMS: CARDIAC EMERGENCY"
"7/1/2019 5:05, HANOVER DR & IRWIN PL, UPPER POTTSGROVE, Station 329B",19464,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 5:07, MAIN ST & N 3RD AVE, ROYERSFORD, Station 98",19468,"Fire: FIRE ALARM"
"7/1/2019 5:16, LANCASTER AVE & GRIFFIN LN, LOWER MERION, Station 25",NA,"Fire: FIRE ALARM"
"7/1/2019 5:26, SHIRLEY LN & 2ND ST, PENNSBURG, Station 369",18073,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 5:32, MEETINGHOUSE RD & DEKALB PIKE, LOWER GWYNEDD, Station 351",19454,"EMS: CARDIAC EMERGENCY"
"7/1/2019 6:07, E OAK ST, NORRISTOWN, Station 308A",19401,"EMS: SHOOTING"
"7/1/2019 6:17, JOHN RUSSELL CIR & COMPOUND 27, CHELTENHAM, Station 358",NA,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 6:35, FAYETTE ST, CONSHOHOCKEN, Station 313A",19428,"EMS: VEHICLE ACCIDENT"
"7/1/2019 6:34, SCHUYLKILL EXPY & BLUEROUTE OVERPASS, WEST CONSHOHOCKEN, Station 313A",NA,"EMS: VEHICLE ACCIDENT"
"7/1/2019 6:35, FAYETTE ST & E 5TH AVE, CONSHOHOCKEN",19428,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 6:35, SCHUYLKILL EXPY & BLUEROUTE OVERPASS, WEST CONSHOHOCKEN",NA,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 6:33, BETHLEHEM PIKE & WALNUT ST, HATFIELD TOWNSHIP",18915,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 6:35, SCHUYLKILL EXPY & BLUEROUTE OVERPASS, WEST CONSHOHOCKEN",NA,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 6:41, JOHNSON HWY & DEKALB ST, EAST NORRITON, Station 308",19401,"EMS: GENERAL WEAKNESS"
"7/1/2019 6:54, MONTGOMERY AVE & MORRIS AVE, LOWER MERION, Station 23",19010,"Fire: GAS-ODOR/LEAK"
"7/1/2019 6:58, PHILMONT AVE & TOMLINSON RD, LOWER MORELAND",19006,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 7:04, E VINE ST, HATFIELD BORO, Station 345",19440,"EMS: VEHICLE ACCIDENT"
"7/1/2019 7:04, E VINE ST & S MAIN ST, HATFIELD BORO",NA,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 7:04, SCHUYLKILL EXPY & HOLLOW RD UNDERPASS, LOWER MERION",NA,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 7:09, GRANGE AVE & GERMANTOWN PIKE, SKIPPACK, Station 336",19426,"EMS: MEDICAL ALERT ALARM"
"7/1/2019 7:20, CONGO NIANTIC RD & HOFFMANSVILLE RD, DOUGLASS, Station 7A505",19505,"EMS: SEIZURES"
"7/1/2019 7:20, MACK RD & W BUCK RD, UPPER HANOVER, Station 369",18041,"EMS: BACK PAINS/INJURY"
"7/1/2019 7:21, ALLENTOWN RD & WOODLAWN DR, TOWAMENCIN, Station 345B",19446,"EMS: FALL VICTIM"
"7/1/2019 7:30, MONTGOMERY AVE & ST GEORGES RD, LOWER MERION, Station 25",19003,"Fire: FIRE ALARM"
"7/1/2019 7:26, SPRING MOUNT RD & SCHWENKSVILLE RD, UPPER SALFORD",19473,"Traffic: DISABLED VEHICLE -"
"7/1/2019 7:31, OAKWOOD DR & OAKWOOD TER, LOWER MERION, Station 313",19072,"EMS: FALL VICTIM"
"7/1/2019 7:32, CHURCH RD & BENT RD, CHELTENHAM, Station 358A",19095,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 7:35, BRYN MAWR AVE & W LANCASTER AVE, LOWER MERION, Station 23",19010,"Fire: FIRE ALARM"
"7/1/2019 7:32, STANBRIDGE ST & W GERMANTOWN PIKE, EAST NORRITON",19401,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 7:39, BROOKE RD & LIMEKILN PIKE, CHELTENHAM, Station 358A",19038,"EMS: ALLERGIC REACTION"
"7/1/2019 7:40, RIDGE PIKE & OAKWYN RD, WHITEMARSH, Station 318",19444,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 7:44, BETHLEHEM PIKE & BERGEY RD, HATFIELD TOWNSHIP",19440,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 7:50, FRANKLIN AVE & ELM AVE, CHELTENHAM, Station 358",19012,"EMS: MEDICAL ALERT ALARM"
"7/1/2019 7:49, BLACK ROCK RD & S TRAPPE RD, UPPER PROVIDENCE, Station 325",19468,"EMS: UNCONSCIOUS SUBJECT"
"7/1/2019 8:00, BLACK ROCK RD & S TRAPPE RD, UPPER PROVIDENCE, Station 98",19468,"Fire: CARDIAC ARREST"
"7/1/2019 7:59, SOUTHERN AVE & S SPRING GARDEN ST, AMBLER, Station 351",19002,"EMS: CARDIAC EMERGENCY"
"7/1/2019 8:11, HARLEYSVILLE PIKE & COWPATH RD, FRANCONIA, Station 339",18964,"EMS: SEIZURES"
"7/1/2019 8:12, HIGH ST & S PARK RD, LOWER POTTSGROVE",19464,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 8:13, WOODBINE AVE & FORREST AVE, NARBERTH",19072,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 8:19, HAMILTON RD & GENERAL LAFAYETTE RD, LOWER MERION",19066,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 8:24, ORCHARD WAY & AIRDALE RD, LOWER MERION",19010,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 8:21, HUNTINGDON PIKE & BARNSWALLOW LN, LOWER MORELAND",19006,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 8:24, W PENNSYLVANIA AVE & INDIANA AVE, UPPER DUBLIN",19034,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 8:29, RAMP RT309 SB TO PENNSYLVANIA AVE & W PENNSYLVANIA AVE, UPPER DUBLIN",NA,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 8:31, RT100 NB, DOUGLASS, Station 332",NA,"EMS: HEAD INJURY"
"7/1/2019 8:31, PHILADELPHIA AVE & RAMP RT100 NB TO RT73, DOUGLASS, Station 332",NA,"EMS: HEAD INJURY"
"7/1/2019 8:32, BYBERRY RD & PHILMONT AVE, LOWER MORELAND",19006,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 8:38, HARLEYSVILLE PIKE & CROSS RD, LOWER SALFORD",19438,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 8:37, HARLEYSVILLE PIKE & CROSS RD, LOWER SALFORD",19438,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 8:40, COTTSWALD CT & LIONS GATE CIR, FRANCONIA, Station 339",18964,"EMS: CARDIAC EMERGENCY"
"7/1/2019 8:48, 5TH ST & UNNAMED ALY, LANSDALE, Station 345",19446,"EMS: FALL VICTIM"
"7/1/2019 8:47, LOWER STATE RD & HORSHAM RD, HORSHAM, Station 352A",19454,"EMS: SYNCOPAL EPISODE"
"7/1/2019 8:52, MAIN ST & S SCHUYLKILL AVE, WEST NORRITON",19403,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 8:57, HILLDALE RD & BONCOUER RD, CHELTENHAM, Station 4",19012,"Fire: FIRE ALARM"
"7/1/2019 8:59, WELSH RD & PINE RD, LOWER MORELAND",19006,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 9:02, PERKIOMEN AVE & 3RD ST, SCHWENKSVILLE, Station 308C",19473,"EMS: CVA/STROKE"
"7/1/2019 9:04, BELMONT ST & MANATAWNY ST, POTTSTOWN, Station 329",19464,"EMS: FALL VICTIM"
"7/1/2019 9:02, E BROAD ST & N MAIN ST, HATFIELD BORO",NA,"Traffic: DISABLED VEHICLE -"
"7/1/2019 9:05, TOMLINSON RD & FORTY FOOT RD, TOWAMENCIN",19440,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 9:09, CHINA BAR W HIGH, DOUGLASS",NA,"Traffic: DISABLED VEHICLE -"
"7/1/2019 9:13, FITZWATERTOWN RD & EASTON RD, UPPER MORELAND",19090,"Traffic: DISABLED VEHICLE -"
"7/1/2019 9:09, HIGH ST & FAIRVIEW ST, WEST POTTSGROVE",19464,"Traffic: DISABLED VEHICLE -"
"7/1/2019 9:16, BETHLEHEM PIKE & LOWER STATE RD, LOWER GWYNEDD",19454,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 9:23, BETHLEHEM PIKE & LOWER STATE RD, LOWER GWYNEDD, Station 7",19454,"Fire: VEHICLE ACCIDENT"
"7/1/2019 9:30, MANOA RD & TRENT RD, LOWER MERION, Station 313",19096,"EMS: ALTERED MENTAL STATUS"
"7/1/2019 9:27, WENTZ CHURCH RD & SKIPPACK PIKE, WORCESTER, Station 336",19446,"EMS: DIABETIC EMERGENCY"
"7/1/2019 9:30, CHEMICAL RD & GALLAGHER RD, PLYMOUTH, Station 43",19462,"Fire: FIRE ALARM"
"7/1/2019 9:28, WILLIAM ST & FRONT ST, WEST CONSHOHOCKEN",19428,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 9:32, GERMANTOWN PIKE & HANNAH AVE, EAST NORRITON, Station 308",19401,"EMS: CARDIAC EMERGENCY"
"7/1/2019 9:35, PLANK RD, PERKIOMEN, Station 308C",NA,"EMS: VEHICLE ACCIDENT"
"7/1/2019 9:35, PLANK RD, PERKIOMEN, Station 66",NA,"Fire: VEHICLE ACCIDENT"
"7/1/2019 9:35, N HENDERSON RD & W DEKALB PIKE, UPPER MERION",19406,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 9:36, PLANK RD & GRAVEL PIKE, PERKIOMEN",19473,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 9:40, SHANNONDELL BLVD & EGYPT RD, LOWER PROVIDENCE, Station 322A",19403,"EMS: CARDIAC EMERGENCY"
"7/1/2019 9:39, STRATFORD CT & CLAREMONT DR, MONTGOMERY, Station 345A",19446,"EMS: SYNCOPAL EPISODE"
"7/1/2019 9:38, SPRING MILL AVE & ASH ST, CONSHOHOCKEN",19428,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 9:45, WENTZ CHURCH RD & SKIPPACK PIKE, WORCESTER, Station 83",19446,"Fire: FIRE SPECIAL SERVICE"
"7/1/2019 9:42, SCHUYLKILL EXPY & WAVERLY RD UNDERPASS, LOWER MERION",NA,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 9:48, TEAKWOOD CT & CEDAR CT, EAST NORRITON, Station 308B",19401,"EMS: CARDIAC EMERGENCY"
"7/1/2019 9:50, OLD YORK RD & SPRING AVE, CHELTENHAM",19027,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 9:54, VILLAGE DR & S GODDARD BLVD, UPPER MERION, Station 47",19406,"Fire: FIRE ALARM"
"7/1/2019 9:54, EDGE HILL RD & EDGECOMB AVE, ABINGTON",19038,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 10:01, HANOVER ST & MERVINE ST, UPPER POTTSGROVE, Station 329B",19464,"EMS: HEAD INJURY"
"7/1/2019 10:10, FORGE AVE & S TROOPER RD, LOWER PROVIDENCE, Station 322A",19403,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 10:24, W MONTGOMERY AVE & GRAYS LN, LOWER MERION",19041,"Traffic: DISABLED VEHICLE -"
"7/1/2019 10:27, FOX HOUND DR & MARBLE HL, WHITEMARSH, Station 318",19444,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 10:29, ASTOR ST & W AIRY ST, NORRISTOWN, Station 308A",19401,"EMS: SEIZURES"
"7/1/2019 10:26, CRUSHER RD & PERKIOMEN TRL, MARLBOROUGH",18074,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 10:32, BUSH ST & CHERRY ALY, BRIDGEPORT, Station 356",19405,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 10:36, RIDGE PIKE & BUTLER PIKE, PLYMOUTH",19428,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 10:36, PAPER MILL RD & SKYLINE DR, SPRINGFIELD, Station 351A",19038,"EMS: SEIZURES"
"7/1/2019 10:45, QUIGLEY AVE & NASH AVE, UPPER MORELAND, Station 381",19090,"EMS: CARDIAC EMERGENCY"
"7/1/2019 10:46, VALLEY FORGE RD & GENERAL STEUBEN RD, UPPER MERION, Station 356",19406,"EMS: FRACTURE"
"7/1/2019 10:50, PENNSYLVANIA TPKE & JOSHUA RD OVERPASS, WHITEMARSH",NA,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 10:52, NORRISTOWN RD & RADCLIFF LN, LOWER GWYNEDD, Station 351",19002,"EMS: FALL VICTIM"
"7/1/2019 10:58, COMPUTER AVE & MARYLAND RD, UPPER MORELAND",19090,"Traffic: HAZARDOUS ROAD CONDITIONS -"
"7/1/2019 11:03, CEDAR GROVE RD & WELLS ST, WHITEMARSH",19428,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 11:06, OAKCREST RD & LONGVIEW PL, LOWER POTTSGROVE, Station 329B",19464,"EMS: ALTERED MENTAL STATUS"
"7/1/2019 11:07, FERNHILL RD & ROSLYN AVE, ABINGTON, Station 500",19038,"Fire: UNKNOWN TYPE FIRE"
"7/1/2019 11:06, TOWNSHIP LINE RD & NEW SECOND ST, CHELTENHAM",19027,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 11:20, GULPH RD & GODDARD BLVD, UPPER MERION, Station 356",19406,"EMS: FALL VICTIM"
"7/1/2019 11:17, AIRY ST & HIGH ALY, NORRISTOWN, Station 308A",19401,"EMS: DIABETIC EMERGENCY"
"7/1/2019 11:16, 1ST AVE & FREEDOM DR, UPPER MERION, Station 356",19406,"EMS: SUBJECT IN PAIN"
"7/1/2019 11:17, S TOWNSHIP LINE RD & LINFIELD TRAPPE RD, LIMERICK",19468,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 11:29, ROCK HILL RD & CONSHOHOCKEN STATE RD, LOWER MERION, Station 313",19004,"EMS: FALL VICTIM"
"7/1/2019 11:29, MORELAND RD & LAWNTON RD, ABINGTON, Station 381",19090,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 11:30, COWPATH RD & W RELIANCE RD, FRANCONIA, Station 339",18964,"EMS: SEIZURES"
"7/1/2019 11:29, BLUEROUTE  & MATSONFORD RD UNDERPASS, WEST CONSHOHOCKEN",NA,"Traffic: DISABLED VEHICLE -"
"7/1/2019 11:33, CITY AVE & MERION RD, LOWER MERION",19131,"Traffic: DISABLED VEHICLE -"
"7/1/2019 11:32, FORTY FOOT RD & WELSH RD, TOWAMENCIN",19446,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 11:42, VALLEY FORGE CIR & OLD VALLEY FORGE RD, UPPER MERION, Station 356",19406,"EMS: FALL VICTIM"
"7/1/2019 11:44, HORSHAM RD & DRESHER RD, HORSHAM, Station 352",19044,"EMS: SYNCOPAL EPISODE"
"7/1/2019 11:50, EAGLEVILLE RD & SUNDERLAND DR, LOWER PROVIDENCE, Station 322",19403,"EMS: CARDIAC ARREST"
"7/1/2019 11:48, MAIN ST & S SCHUYLKILL AVE, WEST NORRITON",19403,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 11:53, RIDGE PIKE & REGAL DR, PLYMOUTH, Station 308",NA,"EMS: UNKNOWN MEDICAL EMERGENCY"
"7/1/2019 11:53, CITY AVE & GREENHILL APARTMENT DR, LOWER MERION",NA,"Traffic: DISABLED VEHICLE -"
"7/1/2019 12:02, NORRISTOWN RD & N LIMEKILN PIKE, UPPER DUBLIN, Station 351",19002,"EMS: SYNCOPAL EPISODE"
"7/1/2019 12:09, AMBER LN & KINDLE DR, TOWAMENCIN, Station 345B",19446,"EMS: CARDIAC EMERGENCY"
"7/1/2019 12:13, HENDRICKS ST & HECKLER ST, AMBLER, Station 7",19002,"Fire: VEHICLE ACCIDENT"
"7/1/2019 12:12, WELSH RD & BLAIR MILL RD, HORSHAM",19044,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 12:08, HENDRICKS ST & HECKLER ST, AMBLER",19002,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 12:11, TOWNSHIP LINE RD & SPARANGO LN, PLYMOUTH, Station 44",19422,"Fire: FIRE ALARM"
"7/1/2019 12:13, CHEMICAL RD & W GERMANTOWN PIKE, PLYMOUTH",19462,"Traffic: DISABLED VEHICLE -"
"7/1/2019 12:20, MEETINGHOUSE RD & DEKALB PIKE, LOWER GWYNEDD, Station 351",19454,"EMS: FRACTURE"
"7/1/2019 12:25, W GERMANTOWN PIKE & HICKORY RD, PLYMOUTH",19462,"Traffic: DISABLED VEHICLE -"
"7/1/2019 12:29, UPLAND AVE & GARDEN AVE, HORSHAM",19044,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 12:27, MARSHALL ST & N MONTGOMERY AVE, WEST NORRITON, Station 308B",19403,"EMS: DIABETIC EMERGENCY"
"7/1/2019 12:26, GERMANTOWN PIKE & DEKALB PIKE, EAST NORRITON",19401,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 12:30, HORSHAM RD & BABYLON RD, HORSHAM, Station 352A",19044,"EMS: CARDIAC EMERGENCY"
"7/1/2019 12:33, HORSHAM RD & GREEN TREE TAVERN RD, HORSHAM, Station 352A",19454,"EMS: CVA/STROKE"
"7/1/2019 12:40, BELVOIR RD & VALLEY RD, PLYMOUTH, Station 308",19462,"EMS: ALTERED MENTAL STATUS"
"7/1/2019 12:38, VALLEY FORGE RD & GENERAL STEUBEN RD, UPPER MERION, Station 356",19406,"EMS: HEMORRHAGING"
"7/1/2019 12:38, E 4TH AVE & FAYETTE ST, CONSHOHOCKEN",19428,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 12:37, GREEN ST & ROSEMONT AVE, UPPER GWYNEDD",19446,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 12:37, WELSH RD & BLAIR MILL RD, HORSHAM",19044,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 12:43, E 4TH AVE, CONSHOHOCKEN, Station 313A",19428,"EMS: VEHICLE ACCIDENT"
"7/1/2019 12:42, VALLEY FORGE CIR & OLD VALLEY FORGE RD, UPPER MERION",19406,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 12:45, CHANCERY CT & GATEWAY DR, FRANCONIA, Station 339",18964,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 12:47, WESTHILL WAY & RADCLIFF CT, WORCESTER, Station 336",19446,"EMS: FIRE SPECIAL SERVICE"
"7/1/2019 12:50, WESTHILL WAY & RADCLIFF CT, WORCESTER, Station 83",19446,"Fire: FIRE SPECIAL SERVICE"
"7/1/2019 12:50, BUCHERT RD & KAUFFMAN RD, LOWER POTTSGROVE",19464,"Traffic: ROAD OBSTRUCTION -"
"7/1/2019 12:54, COUNTY LINE RD & MEETINGHOUSE RD, HORSHAM, Station 352",19040,"EMS: GENERAL WEAKNESS"
"7/1/2019 12:54, WAVERLY RD & MORRIS AVE, LOWER MERION",19010,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 12:58, CIRCLE DR & LAUREL DR, NORRISTOWN, Station 308A",19401,"EMS: SEIZURES"
"7/1/2019 12:58, BROAD ST & VINE ST, LANSDALE",19446,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 13:01, VALLEY FORGE RD & GENERAL STEUBEN RD, UPPER MERION, Station 356",19406,"EMS: GENERAL WEAKNESS"
"7/1/2019 13:13, YORK RD & WASHINGTON LN, JENKINTOWN, Station 382",19046,"EMS: ALTERED MENTAL STATUS"
"7/1/2019 13:11, COTTMAN AVE & ELM AVE, CHELTENHAM, Station 358",19012,"EMS: VEHICLE ACCIDENT"
"7/1/2019 13:12, COTTMAN AVE & ELM AVE, CHELTENHAM",19012,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 13:16, MOREDON RD & MOREDUN AVE, ABINGTON, Station 382",19006,"EMS: SYNCOPAL EPISODE"
"7/1/2019 13:17, N WHITEHALL RD & FLANNERY DR, WEST NORRITON",19403,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 13:23, N WHITEHALL RD, WEST NORRITON, Station 308B",19403,"EMS: VEHICLE ACCIDENT"
"7/1/2019 13:22, N WHITEHALL RD & FLANNERY DR, WEST NORRITON",19403,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 13:25, WINDY HILL RD & GERMANTOWN PIKE, WORCESTER, Station 322",19403,"EMS: HEAD INJURY"
"7/1/2019 13:24, YORK RD & RORER AVE, HATBORO, Station 384",19040,"EMS: HEAD INJURY"
"7/1/2019 13:23, PULASKI ST & GLASGOW ST, WEST POTTSGROVE, Station 329",19464,"EMS: SYNCOPAL EPISODE"
"7/1/2019 13:21, BUTLER PIKE & NORTH LN, PLYMOUTH",19428,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 13:28, WARREN ST & PINE ALY, POTTSTOWN, Station 329",19464,"EMS: MEDICAL ALERT ALARM"
"7/1/2019 13:27, GLENN OAK DR & CRICKET TER, WEST NORRITON, Station 308B",19403,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 13:27, RIDGE PIKE & COLWELL LN, PLYMOUTH, Station 308",19428,"EMS: SYNCOPAL EPISODE"
"7/1/2019 13:28, EXTENSION PENNSYLVANIA TPKE & TOWNSHIP LINE RD UNDERPASS, PLYMOUTH",NA,"Traffic: DISABLED VEHICLE -"
"7/1/2019 13:30, SWEDE RD & ERBS MILL RD, WHITPAIN",19422,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 13:33, HENDRICKS ST & HECKLER ST, AMBLER",19002,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 13:33, CHERRY ST & W PENN ST, NORRISTOWN, Station 308A",19401,"EMS: SUBJECT IN PAIN"
"7/1/2019 13:39, ITHAN AVE & POND LN, LOWER MERION",19010,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 13:43, CIRCLE DR & LOWER FARM RD, NORRISTOWN, Station 308A",19403,"EMS: UNCONSCIOUS SUBJECT"
"7/1/2019 13:46, N LIMEKILN PIKE & NORRISTOWN RD, UPPER DUBLIN",19002,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 13:56, SPRING MILL RD & OLD GULPH RD, LOWER MERION, Station 23",19085,"Fire: FIRE ALARM"
"7/1/2019 14:00, OAK HILL DR & ASHBOURNE RD, CHELTENHAM, Station 358",19012,"EMS: ALLERGIC REACTION"
"7/1/2019 13:59, DEKALB ST, NORRISTOWN, Station 308A",NA,"EMS: VEHICLE ACCIDENT"
"7/1/2019 13:58, DEKALB ST & E WOOD ST, NORRISTOWN",19401,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 14:05, HECTOR ST & ANGEL ALY, CONSHOHOCKEN, Station 313A",19428,"EMS: FALL VICTIM"
"7/1/2019 14:03, SPRINGFIELD AVE & BETHLEHEM PIKE, SPRINGFIELD, Station 351A",19031,"EMS: CARDIAC EMERGENCY"
"7/1/2019 14:02, SCHUYLKILL EXPY & RR OVERPASS, UPPER MERION",NA,"Traffic: DISABLED VEHICLE -"
"7/1/2019 14:02, SCHUYLKILL EXPY & RR OVERPASS, UPPER MERION",NA,"Traffic: DISABLED VEHICLE -"
"7/1/2019 14:04, OLD YORK RD & STRATFORD AVE, ABINGTON",19001,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 14:02, SCHUYLKILL EXPY & RR OVERPASS, UPPER MERION",NA,"Traffic: DISABLED VEHICLE -"
"7/1/2019 14:08, BAKER ST & DEAD END, LOWER PROVIDENCE, Station 322",19426,"EMS: NAUSEA/VOMITING"
"7/1/2019 14:15, RIDGE PIKE & NORTHWESTERN AVE, SPRINGFIELD, Station 318",19128,"EMS: HEAD INJURY"
"7/1/2019 14:14, OLD YORK RD & FOXCROFT RD, CHELTENHAM, Station 358",19027,"EMS: DEHYDRATION"
"7/1/2019 14:13, JUGHANDLE & N BETHLEHEM PIKE, LOWER GWYNEDD",NA,"Traffic: VEHICLE ACCIDENT -"
