"","desc","zip","title","address","towns","dt"
"11","GREEN HILL DR; MARLBOROUGH; 2020-01-01 @ 00:32:27",18054,"Fire: UNKNOWN TYPE FIRE","GREEN HILL DR"," MARLBOROUGH"," 2020-01-01 @ 00:32:27"
"12","MONTGOMERY AVE;  LOWER MERION; 2020-01-01 @ 00:36:54",NA,"EMS: CARDIAC EMERGENCY","MONTGOMERY AVE","  LOWER MERION"," 2020-01-01 @ 00:36:54"
"13","KYNLYN CIR & ACORN AVE;  TELFORD; 2020-01-01 @ 00:38:08",18969,"EMS: FALL VICTIM","KYNLYN CIR & ACORN AVE","  TELFORD"," 2020-01-01 @ 00:38:08"
"14","PETERMAN LN & CEDAR HILL RD;  LOWER GWYNEDD; 2020-01-01 @ 00:45:19",19002,"EMS: OVERDOSE","PETERMAN LN & CEDAR HILL RD","  LOWER GWYNEDD"," 2020-01-01 @ 00:45:19"
"15","LOCUST ST & DOGWOOD DR;  NORRISTOWN; 2020-01-01 @ 00:44:48",19401,"EMS: RESPIRATORY EMERGENCY","LOCUST ST & DOGWOOD DR","  NORRISTOWN"," 2020-01-01 @ 00:44:48"
"16","ALLENTOWN RD AND WOODLAWN DR;  TOWAMENCIN; 2020-01-01 @ 00:46:32",19446,"EMS: FALL VICTIM","ALLENTOWN RD & WOODLAWN DR","  TOWAMENCIN"," 2020-01-01 @ 00:46:32"
"17","GRACE ST; POTTSTOWN; 2020-01-01 @ 00:47:40",19464,"Fire: TRASH/DUMPSTER FIRE","GRACE ST"," POTTSTOWN"," 2020-01-01 @ 00:47:40"
"18","DEKALB ST & W 5TH ST; BRIDGEPORT; 2020-01-01 @ 00:46:26",19405,"Traffic: VEHICLE ACCIDENT","DEKALB ST & W 5TH ST"," BRIDGEPORT"," 2020-01-01 @ 00:46:26"
"19","WILLOW BROOK LN & DONALD DR;  NEW HANOVER; 2020-01-01 @ 00:51:27",19464,"EMS: OVERDOSE","WILLOW BROOK LN & DONALD DR","  NEW HANOVER"," 2020-01-01 @ 00:51:27"
"20","MT VERNON ST & UNNAMED ALY;  LANSDALE; 2020-01-01 @ 00:54:12",19446,"EMS: SUBJECT IN PAIN","MT VERNON ST & UNNAMED ALY","  LANSDALE"," 2020-01-01 @ 00:54:12"
"21","MONTGOMERY AVE & RADNOR ST;  LOWER MERION; 2020-01-01 @ 00:55:02",19010,"EMS: SYNCOPAL EPISODE","MONTGOMERY AVE & RADNOR ST","  LOWER MERION"," 2020-01-01 @ 00:55:02"
"22","ASPEN DR & BUTTERNUT DR; UPPER POTTSGROVE; 2020-01-01 @ 01:03:55",19464,"Fire: BUILDING FIRE","ASPEN DR & BUTTERNUT DR"," UPPER POTTSGROVE"," 2020-01-01 @ 01:03:55"
"23","WINDING WAY & DERWEN RD;  LOWER MERION; 2020-01-01 @ 01:06:45",19066,"EMS: CARDIAC EMERGENCY","WINDING WAY & DERWEN RD","  LOWER MERION"," 2020-01-01 @ 01:06:45"
"24","SUMMIT AVE & LEEDOM ST;  JENKINTOWN; 2020-01-01 @ 01:06:00",19046,"EMS: LACERATIONS","SUMMIT AVE & LEEDOM ST","  JENKINTOWN"," 2020-01-01 @ 01:06:00"
"25","SHANNONDELL DR AND SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 01:08:12",19403,"EMS: HEAD INJURY","SHANNONDELL DR & SHANNONDELL BLVD","  LOWER PROVIDENCE"," 2020-01-01 @ 01:08:12"
"26","BRIDGE RD & SERENDIPITY WAY;  SKIPPACK; 2020-01-01 @ 01:14:17",19473,"EMS: EMS SPECIAL SERVICE","BRIDGE RD & SERENDIPITY WAY","  SKIPPACK"," 2020-01-01 @ 01:14:17"
"27","HIGH ST & S WASHINGTON ST;  POTTSTOWN; 2020-01-01 @ 01:12:29",19464,"EMS: HEAD INJURY","HIGH ST & S WASHINGTON ST","  POTTSTOWN"," 2020-01-01 @ 01:12:29"
"28","HIGH ST AND S WASHINGTON ST; POTTSTOWN; 2020-01-01 @ 01:19:47",19464,"Fire: FIRE SPECIAL SERVICE","HIGH ST & S WASHINGTON ST"," POTTSTOWN"," 2020-01-01 @ 01:19:47"
"29","MOORE ST;  NORRISTOWN; 2020-01-01 @ 01:25:04",19401,"EMS: ASSAULT VICTIM","MOORE ST","  NORRISTOWN"," 2020-01-01 @ 01:25:04"
"30","LIMERICK RD & SAYLOR RD;  LIMERICK; 2020-01-01 @ 01:25:36",19473,"EMS: RESPIRATORY EMERGENCY","LIMERICK RD & SAYLOR RD","  LIMERICK"," 2020-01-01 @ 01:25:36"
"31","EASTON RD & BRADFIELD RD; ABINGTON; 2020-01-01 @ 01:26:50",19001,"Traffic: DISABLED VEHICLE","EASTON RD & BRADFIELD RD"," ABINGTON"," 2020-01-01 @ 01:26:50"
"32","HENNING RD & FINN RD;  NEW HANOVER; 2020-01-01 @ 01:45:19",18074,"EMS: DIABETIC EMERGENCY","HENNING RD & FINN RD","  NEW HANOVER"," 2020-01-01 @ 01:45:19"
"33","CRESSON BLVD & EGYPT RD;  UPPER PROVIDENCE; 2020-01-01 @ 01:51:10",19426,"EMS: OVERDOSE","CRESSON BLVD & EGYPT RD","  UPPER PROVIDENCE"," 2020-01-01 @ 01:51:10"
"34","OAKWOOD DR & OAKWOOD TER;  LOWER MERION; 2020-01-01 @ 02:00:32",19072,"EMS: MEDICAL ALERT ALARM","OAKWOOD DR & OAKWOOD TER","  LOWER MERION"," 2020-01-01 @ 02:00:32"
"35","HIGH ST & S YORK ST;  POTTSTOWN; 2020-01-01 @ 01:58:01",19464,"EMS: OVERDOSE","HIGH ST & S YORK ST","  POTTSTOWN"," 2020-01-01 @ 01:58:01"
"36","CAMBRIDGE RD & OVERHILL RD;  LOWER MERION; 2020-01-01 @ 02:11:15",19004,"EMS: CARDIAC ARREST","CAMBRIDGE RD & OVERHILL RD","  LOWER MERION"," 2020-01-01 @ 02:11:15"
"37","VALLEY FORGE RD & BOYD AVE;  UPPER GWYNEDD; 2020-01-01 @ 02:41:47",19446,"EMS: RESPIRATORY EMERGENCY","VALLEY FORGE RD & BOYD AVE","  UPPER GWYNEDD"," 2020-01-01 @ 02:41:47"
"38","RIDGE PIKE;  WHITEMARSH; 2020-01-01 @ 02:42:23",NA,"EMS: UNKNOWN MEDICAL EMERGENCY","RIDGE PIKE","  WHITEMARSH"," 2020-01-01 @ 02:42:23"
"39","BEECH ST & N WARREN ST;  POTTSTOWN; 2020-01-01 @ 02:54:28",19464,"EMS: UNKNOWN MEDICAL EMERGENCY","BEECH ST & N WARREN ST","  POTTSTOWN"," 2020-01-01 @ 02:54:28"
"40","WILTSHIRE RD & CITY AVE; LOWER MERION; 2020-01-01 @ 03:01:13",19151,"Fire: FIRE ALARM","WILTSHIRE RD & CITY AVE"," LOWER MERION"," 2020-01-01 @ 03:01:13"
"41","OLD SKIPPACK RD & HENDRICKS STATION RD;  UPPER SALFORD; 2020-01-01 @ 03:10:16",19438,"EMS: RESPIRATORY EMERGENCY","OLD SKIPPACK RD & HENDRICKS STATION RD","  UPPER SALFORD"," 2020-01-01 @ 03:10:16"
"42","AIRY ST & HIGH ALY;  NORRISTOWN; 2020-01-01 @ 03:20:47",19401,"EMS: ASSAULT VICTIM","AIRY ST & HIGH ALY","  NORRISTOWN"," 2020-01-01 @ 03:20:47"
"43","KING ST;  POTTSTOWN; 2020-01-01 @ 03:33:24",19464,"EMS: ASSAULT VICTIM","KING ST","  POTTSTOWN"," 2020-01-01 @ 03:33:24"
"44","SCHUYLKILL EXPY & RAMP HOLLOW RD TO I76 EB; LOWER MERION; 2020-01-01 @ 03:59:38",NA,"Fire: VEHICLE ACCIDENT","SCHUYLKILL EXPY & RAMP HOLLOW RD TO I76 EB"," LOWER MERION"," 2020-01-01 @ 03:59:38"
"45","SUNNYSIDE AVE & HIGHLEY RD;  LOWER PROVIDENCE; 2020-01-01 @ 03:56:50",19403,"EMS: ALLERGIC REACTION","SUNNYSIDE AVE & HIGHLEY RD","  LOWER PROVIDENCE"," 2020-01-01 @ 03:56:50"
"46","SCHUYLKILL EXPY & RAMP HOLLOW RD TO I76 EB; LOWER MERION; 2020-01-01 @ 03:59:33",NA,"Traffic: VEHICLE ACCIDENT","SCHUYLKILL EXPY & RAMP HOLLOW RD TO I76 EB"," LOWER MERION"," 2020-01-01 @ 03:59:33"
"47","DUNCAN DR & ALPIN DR;  UPPER DUBLIN; 2020-01-01 @ 04:07:55",19025,"EMS: CVA/STROKE","DUNCAN DR & ALPIN DR","  UPPER DUBLIN"," 2020-01-01 @ 04:07:55"
"48","BUCKWALTER RD & BUCKWALTER CIR;  UPPER PROVIDENCE; 2020-01-01 @ 04:08:28",19468,"EMS: FALL VICTIM","BUCKWALTER RD & BUCKWALTER CIR","  UPPER PROVIDENCE"," 2020-01-01 @ 04:08:28"
"49","HIGH ST & S FRANKLIN ST;  POTTSTOWN; 2020-01-01 @ 04:41:30",19464,"EMS: SUBJECT IN PAIN","HIGH ST & S FRANKLIN ST","  POTTSTOWN"," 2020-01-01 @ 04:41:30"
"50","SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 05:10:32",19403,"EMS: HEMORRHAGING","SHANNONDELL DR & SHANNONDELL BLVD","  LOWER PROVIDENCE"," 2020-01-01 @ 05:10:32"
"51","EBERLY ST AND SKROBUL RD;  UPPER MORELAND; 2020-01-01 @ 05:06:57",19040,"EMS: ABDOMINAL PAINS","EBERLY ST & SKROBUL RD","  UPPER MORELAND"," 2020-01-01 @ 05:06:57"
"52","COLLEGEVILLE RD & RIVER RD;  LOWER PROVIDENCE; 2020-01-01 @ 05:09:46",19426,"EMS: DIABETIC EMERGENCY","COLLEGEVILLE RD & RIVER RD","  LOWER PROVIDENCE"," 2020-01-01 @ 05:09:46"
"53","CONSHOHOCKEN STATE RD & MARY WATERS FORD RD; LOWER MERION; 2020-01-01 @ 05:20:48",19004,"Traffic: DISABLED VEHICLE","CONSHOHOCKEN STATE RD & MARY WATERS FORD RD"," LOWER MERION"," 2020-01-01 @ 05:20:48"
"54","SCHUYLKILL RD & RAMP RT724 TO RT422; CHESTER COUNTY; 2020-01-01 @ 05:25:24",NA,"Traffic: DISABLED VEHICLE","SCHUYLKILL RD & RAMP RT724 TO RT422"," CHESTER COUNTY"," 2020-01-01 @ 05:25:24"
"55","POWELL ST & E LOGAN ST; NORRISTOWN; 2020-01-01 @ 05:22:22",19401,"Traffic: VEHICLE ACCIDENT","POWELL ST & E LOGAN ST"," NORRISTOWN"," 2020-01-01 @ 05:22:22"
"56","4TH ST & DEPOT ST;  BRIDGEPORT; 2020-01-01 @ 05:26:01",19405,"EMS: ABDOMINAL PAINS","4TH ST & DEPOT ST","  BRIDGEPORT"," 2020-01-01 @ 05:26:01"
"57","MARSHALL ST & STANBRIDGE ST; NORRISTOWN; 2020-01-01 @ 05:28:50",19401,"Traffic: DISABLED VEHICLE","MARSHALL ST & STANBRIDGE ST"," NORRISTOWN"," 2020-01-01 @ 05:28:50"
"58","PHILADELPHIA AVE & AMMON AVE;  DOUGLASS; 2020-01-01 @ 05:35:14",19525,"EMS: FEVER","PHILADELPHIA AVE & AMMON AVE","  DOUGLASS"," 2020-01-01 @ 05:35:14"
"59","PENNSYLVANIA TPKE & RAMP I276 WB TO I476; WHITEMARSH; 2020-01-01 @ 05:40:14",NA,"Traffic: ROAD OBSTRUCTION","PENNSYLVANIA TPKE & RAMP I276 WB TO I476"," WHITEMARSH"," 2020-01-01 @ 05:40:14"
"60","PENNSYLVANIA TPKE & ISABELLA ST ACCESS GATE; PLYMOUTH; 2020-01-01 @ 05:42:30",NA,"Traffic: DISABLED VEHICLE","PENNSYLVANIA TPKE & ISABELLA ST ACCESS GATE"," PLYMOUTH"," 2020-01-01 @ 05:42:30"
"61","NORTH HILLS AVE & EASTVIEW DR;  UPPER DUBLIN; 2020-01-01 @ 06:19:29",19038,"EMS: GENERAL WEAKNESS","NORTH HILLS AVE & EASTVIEW DR","  UPPER DUBLIN"," 2020-01-01 @ 06:19:29"
"62","LAFAYETTE ST & SWEDE ST;  NORRISTOWN; 2020-01-01 @ 06:30:12",19401,"EMS: CVA/STROKE","LAFAYETTE ST & SWEDE ST","  NORRISTOWN"," 2020-01-01 @ 06:30:12"
"63","HIGH ST & S YORK ST;  POTTSTOWN; 2020-01-01 @ 06:41:14",19464,"EMS: EMS SPECIAL SERVICE","HIGH ST & S YORK ST","  POTTSTOWN"," 2020-01-01 @ 06:41:14"
"64","SCHUYLKILL EXPY & RAMP RT202 NB TO I76 EB; UPPER MERION; 2020-01-01 @ 06:49:52",NA,"Traffic: DISABLED VEHICLE","SCHUYLKILL EXPY & RAMP RT202 NB TO I76 EB"," UPPER MERION"," 2020-01-01 @ 06:49:52"
"65","SCHUYLKILL EXPY & RAMP RT202 NB TO I76 EB; UPPER MERION; 2020-01-01 @ 06:49:59",NA,"Traffic: DISABLED VEHICLE","SCHUYLKILL EXPY & RAMP RT202 NB TO I76 EB"," UPPER MERION"," 2020-01-01 @ 06:49:59"
"66","BUCHERT RD & HIDDEN VALLEY DR;  DOUGLASS; 2020-01-01 @ 06:56:38",19525,"EMS: FALL VICTIM","BUCHERT RD & HIDDEN VALLEY DR","  DOUGLASS"," 2020-01-01 @ 06:56:38"
"67","BIG RD & FREDERICK DR;  UPPER FREDERICK; 2020-01-01 @ 07:10:43",19492,"EMS: SUBJECT IN PAIN","BIG RD & FREDERICK DR","  UPPER FREDERICK"," 2020-01-01 @ 07:10:43"
"68","METKA RD & ZIEGLER RD;  LIMERICK; 2020-01-01 @ 07:29:49",19468,"EMS: FALL VICTIM","METKA RD & ZIEGLER RD","  LIMERICK"," 2020-01-01 @ 07:29:49"
"69","MAURICE LN & EMMA WAY; HORSHAM; 2020-01-01 @ 07:37:22",19040,"Fire: FIRE ALARM","MAURICE LN & EMMA WAY"," HORSHAM"," 2020-01-01 @ 07:37:22"
"70","ROLAND ST & CHESTNUT ST;  POTTSTOWN; 2020-01-01 @ 07:43:55",19464,"EMS: HEMORRHAGING","ROLAND ST & CHESTNUT ST","  POTTSTOWN"," 2020-01-01 @ 07:43:55"
"71","VALLEY FORGE RD & BOYD AVE;  UPPER GWYNEDD; 2020-01-01 @ 07:45:03",19446,"EMS: NAUSEA/VOMITING","VALLEY FORGE RD & BOYD AVE","  UPPER GWYNEDD"," 2020-01-01 @ 07:45:03"
"72","MAURICE LN & EMMA WAY;  HORSHAM; 2020-01-01 @ 07:55:27",19040,"EMS: CARBON MONOXIDE DETECTOR","MAURICE LN & EMMA WAY","  HORSHAM"," 2020-01-01 @ 07:55:27"
"73","RIDGE PIKE & ASH LN;  WHITEMARSH; 2020-01-01 @ 08:00:32",19444,"EMS: CHOKING","RIDGE PIKE & ASH LN","  WHITEMARSH"," 2020-01-01 @ 08:00:32"
"74","BUTLER PIKE & TALLY HO DR;  UPPER DUBLIN; 2020-01-01 @ 08:02:35",19002,"EMS: CHOKING","BUTLER PIKE & TALLY HO DR","  UPPER DUBLIN"," 2020-01-01 @ 08:02:35"
"75","HOLLY DR & WILLOW LN; NEW HANOVER; 2020-01-01 @ 08:07:59",19525,"Fire: FIRE ALARM","HOLLY DR & WILLOW LN"," NEW HANOVER"," 2020-01-01 @ 08:07:59"
"76","SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 08:06:14",19403,"EMS: HEAD INJURY","SHANNONDELL DR & SHANNONDELL BLVD","  LOWER PROVIDENCE"," 2020-01-01 @ 08:06:14"
"77","STENTON AVE & NEWTON ST;  SPRINGFIELD; 2020-01-01 @ 08:25:52",19038,"EMS: UNCONSCIOUS SUBJECT","STENTON AVE & NEWTON ST","  SPRINGFIELD"," 2020-01-01 @ 08:25:52"
"78","HAWS AVE & W BLACKBERRY ALY;  NORRISTOWN; 2020-01-01 @ 08:23:21",19401,"EMS: ABDOMINAL PAINS","HAWS AVE & W BLACKBERRY ALY","  NORRISTOWN"," 2020-01-01 @ 08:23:21"
"79","SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 08:39:56",19403,"EMS: FALL VICTIM","SHANNONDELL DR & SHANNONDELL BLVD","  LOWER PROVIDENCE"," 2020-01-01 @ 08:39:56"
"80","DEKALB PIKE & COLONIAL DR; EAST NORRITON; 2020-01-01 @ 08:44:38",19401,"Fire: ELEVATOR EMERGENCY","DEKALB PIKE & COLONIAL DR"," EAST NORRITON"," 2020-01-01 @ 08:44:38"
"81","CAROSAL LN & RED BARN RD;  UPPER MORELAND; 2020-01-01 @ 08:49:39",19090,"EMS: RESPIRATORY EMERGENCY","CAROSAL LN & RED BARN RD","  UPPER MORELAND"," 2020-01-01 @ 08:49:39"
"82","CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2020-01-01 @ 08:55:04",19150,"Traffic: DISABLED VEHICLE","CHELTENHAM AVE & 79TH AVE"," CHELTENHAM"," 2020-01-01 @ 08:55:04"
"83","BRIDGE ST & SEITZ RD; PERKIOMEN; 2020-01-01 @ 08:58:42",19426,"Fire: FIRE INVESTIGATION","BRIDGE ST & SEITZ RD"," PERKIOMEN"," 2020-01-01 @ 08:58:42"
"84","MIDDLE SCHOOL DR & DOBBS CT;  LOWER PROVIDENCE; 2020-01-01 @ 09:03:57",19403,"EMS: HEMORRHAGING","MIDDLE SCHOOL DR & DOBBS CT","  LOWER PROVIDENCE"," 2020-01-01 @ 09:03:57"
"85","SHAW AVE & UNNAMED ALY;  LANSDALE; 2020-01-01 @ 09:10:37",19446,"EMS: ABDOMINAL PAINS","SHAW AVE & UNNAMED ALY","  LANSDALE"," 2020-01-01 @ 09:10:37"
"86","BELVOIR RD & SANDY HILL RD; PLYMOUTH; 2020-01-01 @ 09:12:24",19462,"Traffic: DISABLED VEHICLE","BELVOIR RD & SANDY HILL RD"," PLYMOUTH"," 2020-01-01 @ 09:12:24"
"87","TWIN SILO DR & MORRIS RD;  WHITPAIN; 2020-01-01 @ 09:25:09",19422,"EMS: HEAD INJURY","TWIN SILO DR & MORRIS RD","  WHITPAIN"," 2020-01-01 @ 09:25:09"
"88","OAKWOOD TER & OAKWOOD DR; LOWER MERION; 2020-01-01 @ 09:21:23",19072,"Fire: FIRE ALARM","OAKWOOD TER & OAKWOOD DR"," LOWER MERION"," 2020-01-01 @ 09:21:23"
"89","HOSENSACK RD & GRAVEL PIKE;  UPPER HANOVER; 2020-01-01 @ 09:22:10",18041,"EMS: SUBJECT IN PAIN","HOSENSACK RD & GRAVEL PIKE","  UPPER HANOVER"," 2020-01-01 @ 09:22:10"
"90","MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; 2020-01-01 @ 09:22:57",19438,"EMS: SUBJECT IN PAIN","MAIN ST & OLD SUMNEYTOWN PIKE","  LOWER SALFORD"," 2020-01-01 @ 09:22:57"
"91","MAIN ST & SCHOOL ST;  NORTH WALES; 2020-01-01 @ 09:23:53",19454,"EMS: SUBJECT IN PAIN","MAIN ST & SCHOOL ST","  NORTH WALES"," 2020-01-01 @ 09:23:53"
"92","ORELAND MILL RD AND BARCLAY RD;  SPRINGFIELD; 2020-01-01 @ 09:29:59",19075,"EMS: RESPIRATORY EMERGENCY","ORELAND MILL RD & BARCLAY RD","  SPRINGFIELD"," 2020-01-01 @ 09:29:59"
"93","HOOVER AVE & HIGHLAND AVE;  WEST NORRITON; 2020-01-01 @ 09:28:39",19403,"EMS: SUBJECT IN PAIN","HOOVER AVE & HIGHLAND AVE","  WEST NORRITON"," 2020-01-01 @ 09:28:39"
"94","PATTERSON AVE & HAINES RD;  EAST NORRITON; 2020-01-01 @ 09:26:21",19401,"EMS: FALL VICTIM","PATTERSON AVE & HAINES RD","  EAST NORRITON"," 2020-01-01 @ 09:26:21"
"95","BROOKE DR & JOSHUA DR;  LIMERICK; 2020-01-01 @ 09:44:51",19468,"EMS: CARDIAC EMERGENCY","BROOKE DR & JOSHUA DR","  LIMERICK"," 2020-01-01 @ 09:44:51"
"96","HATFIELD PIKE & TOWNSHIP LINE RD; FRANCONIA; 2020-01-01 @ 09:43:57",18964,"Fire: FIRE ALARM","HATFIELD PIKE & TOWNSHIP LINE RD"," FRANCONIA"," 2020-01-01 @ 09:43:57"
"97","E BROAD ST & N COUNTY LINE RD; BUCKS COUNTY; 2020-01-01 @ 09:45:12",18964,"Traffic: VEHICLE ACCIDENT","E BROAD ST & N COUNTY LINE RD"," BUCKS COUNTY"," 2020-01-01 @ 09:45:12"
"98","5TH ST & BITTING ALY;  RED HILL; 2020-01-01 @ 09:46:05",18076,"EMS: RESPIRATORY EMERGENCY","5TH ST & BITTING ALY","  RED HILL"," 2020-01-01 @ 09:46:05"
"99","HOOVER AVE & HIGHLAND AVE;  WEST NORRITON; 2020-01-01 @ 09:55:35",19403,"EMS: GENERAL WEAKNESS","HOOVER AVE & HIGHLAND AVE","  WEST NORRITON"," 2020-01-01 @ 09:55:35"
"100","DOCK DR & DETWILER RD;  TOWAMENCIN; 2020-01-01 @ 10:02:57",19446,"EMS: SUBJECT IN PAIN","DOCK DR & DETWILER RD","  TOWAMENCIN"," 2020-01-01 @ 10:02:57"
"101","CHESTNUT ST & MANATAWNY ST; POTTSTOWN; 2020-01-01 @ 10:04:27",19464,"Fire: FIRE INVESTIGATION","CHESTNUT ST & MANATAWNY ST"," POTTSTOWN"," 2020-01-01 @ 10:04:27"
"102","MACOBY ST & E 5TH ST;  PENNSBURG; 2020-01-01 @ 10:13:30",18073,"EMS: ABDOMINAL PAINS","MACOBY ST & E 5TH ST","  PENNSBURG"," 2020-01-01 @ 10:13:30"
"103","SUMNEYTOWN PIKE & MERCK GATE 1;  UPPER GWYNEDD; 2020-01-01 @ 10:20:27",19446,"EMS: HEAD INJURY","SUMNEYTOWN PIKE & MERCK GATE 1","  UPPER GWYNEDD"," 2020-01-01 @ 10:20:27"
"104","WOODLAWN DR & PIONEER RD;  TOWAMENCIN; 2020-01-01 @ 10:25:50",19446,"EMS: CARDIAC EMERGENCY","WOODLAWN DR & PIONEER RD","  TOWAMENCIN"," 2020-01-01 @ 10:25:50"
"105","ARLINE AVE & PERSHING AVE;  ABINGTON; 2020-01-01 @ 10:26:23",19001,"EMS: CARDIAC EMERGENCY","ARLINE AVE & PERSHING AVE","  ABINGTON"," 2020-01-01 @ 10:26:23"
"106","SKIPPACK PIKE & MEADOWOOD DR;  WORCESTER; 2020-01-01 @ 10:40:31",19446,"EMS: CARDIAC EMERGENCY","SKIPPACK PIKE & MEADOWOOD DR","  WORCESTER"," 2020-01-01 @ 10:40:31"
"107","WIMBLEDON LN & MOYER RD;  HATFIELD TOWNSHIP; 2020-01-01 @ 10:37:42",19440,"EMS: SYNCOPAL EPISODE","WIMBLEDON LN & MOYER RD","  HATFIELD TOWNSHIP"," 2020-01-01 @ 10:37:42"
"108","KENNY RD & OAKCREST RD; LOWER POTTSGROVE; 2020-01-01 @ 10:41:14",19464,"Fire: BUILDING FIRE","KENNY RD & OAKCREST RD"," LOWER POTTSGROVE"," 2020-01-01 @ 10:41:14"
"109","SKIPPACK PIKE & MEADOWOOD DR;  WORCESTER; 2020-01-01 @ 10:48:29",19446,"EMS: CHOKING","SKIPPACK PIKE & MEADOWOOD DR","  WORCESTER"," 2020-01-01 @ 10:48:29"
"110","HIGHLAND AVE & BERKS ST;  DOUGLASS; 2020-01-01 @ 10:47:55",19512,"EMS: DIABETIC EMERGENCY","HIGHLAND AVE & BERKS ST","  DOUGLASS"," 2020-01-01 @ 10:47:55"
"111","LUTHERAN HOME DR & DEAD END;  TELFORD; 2020-01-01 @ 10:46:54",NA,"EMS: SUBJECT IN PAIN","LUTHERAN HOME DR & DEAD END","  TELFORD"," 2020-01-01 @ 10:46:54"
"112","CHARLOTTE ST & GRANDVIEW AVE;  NEW HANOVER; 2020-01-01 @ 10:55:49",19464,"EMS: RESPIRATORY EMERGENCY","CHARLOTTE ST & GRANDVIEW AVE","  NEW HANOVER"," 2020-01-01 @ 10:55:49"
"113","TROTTER LN & GWYNMONT DR;  MONTGOMERY; 2020-01-01 @ 10:58:46",19454,"EMS: BACK PAINS/INJURY","TROTTER LN & GWYNMONT DR","  MONTGOMERY"," 2020-01-01 @ 10:58:46"
"114","10TH AVE & N LEWIS RD; LIMERICK; 2020-01-01 @ 10:58:45",19468,"Traffic: DISABLED VEHICLE","10TH AVE & N LEWIS RD"," LIMERICK"," 2020-01-01 @ 10:58:45"
"115","KESWICK AVE & SYLVANIA AVE;  ABINGTON; 2020-01-01 @ 11:22:01",19038,"EMS: GENERAL WEAKNESS","KESWICK AVE & SYLVANIA AVE","  ABINGTON"," 2020-01-01 @ 11:22:01"
"116","SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 11:22:41",19403,"EMS: MEDICAL ALERT ALARM","SHANNONDELL DR & SHANNONDELL BLVD","  LOWER PROVIDENCE"," 2020-01-01 @ 11:22:41"
"117","BYBERRY AVE & S PENN ST;  HATBORO; 2020-01-01 @ 11:29:30",19040,"EMS: ALTERED MENTAL STATUS","BYBERRY AVE & S PENN ST","  HATBORO"," 2020-01-01 @ 11:29:30"
"118","5TH ST & MAPLE AVE;  LANSDALE; 2020-01-01 @ 11:28:36",19446,"EMS: CARDIAC EMERGENCY","5TH ST & MAPLE AVE","  LANSDALE"," 2020-01-01 @ 11:28:36"
