desc,zip,title
"7/1/2019 18:33, JEFFERSON ST & HIGHLAND AVE, LOWER MERION, Station 22",19004,Fire: CARBON MONOXIDE DETECTOR
"7/1/2019 19:09, WASHINGTON ST & ASH ST, CONSHOHOCKEN, Station 35",19428,Fire: S/B AT HELICOPTER LANDING
"7/1/2019 19:48, POTSHOP RD & N TROOPER RD, WORCESTER, Station 83",19403,Fire: RESCUE - GENERAL
"7/1/2019 20:35, HIGH ST & ROSEDALE DR, POTTSTOWN, Station 69",19464,Fire: FIRE INVESTIGATION
"7/1/2019 20:57, JULIA DR & CEDAR GROVE RD, WHITEMARSH, Station 45",NA,Fire: GAS-ODOR/LEAK
"7/1/2019 21:01, WALNUT GROVE DR & DRESHER RD, HORSHAM, Station 15",19044,Fire: S/B AT HELICOPTER LANDING
"7/1/2019 21:11, HEEBNER RD & VALLEY FORGE RD, WORCESTER, Station 83",19426,Fire: FIRE SPECIAL SERVICE
"7/1/2019 21:13, FREEDLEY ST & PINE ST, NORRISTOWN, Station 27",19401,Fire: GAS-ODOR/LEAK
"7/1/2019 22:01, BASIN ST & WALNUT ST, NORRISTOWN, Station 27",19401,Fire: TRASH/DUMPSTER FIRE
"7/1/2019 22:24, THE FAIRWAY  & RYDAL RD, ABINGTON, Station 100",19046,Fire: FIRE ALARM
"7/2/2019 0:24, HORSHAM RD, UPPER MORELAND, Station 10",NA,Fire: ELECTRICAL FIRE OUTSIDE
"7/2/2019 1:53, FITZWATERTOWN RD & ORI PL, UPPER DUBLIN, Station 88",19025,Fire: GAS-ODOR/LEAK
"7/2/2019 3:01, FITZWATERTOWN RD & ORI PL, UPPER DUBLIN, Station 88",19025,Fire: GAS-ODOR/LEAK
"7/2/2019 3:10, STRATFORD AVE & FAIRVIEW AVE, ABINGTON, Station 500",19090,Fire: FIRE ALARM
"7/2/2019 4:01, HILLSIDE AVE & 1ST ST, LOWER PROVIDENCE, Station 53",19403,Fire: FIRE ALARM
"7/2/2019 5:57, SILVER AVE & SCHOOL HOUSE LN, UPPER MORELAND, Station 10",19090,Fire: FIRE INVESTIGATION
"7/2/2019 6:07, S TOWNSHIP LINE RD, LIMERICK, Station 54",19468,Fire: VEHICLE ACCIDENT
"7/2/2019 6:35, RIDGE PIKE & N TOWNSHIP LINE RD, LIMERICK, Station 54",19468,Fire: VEHICLE ACCIDENT
"7/2/2019 7:13, CHARLOTTE ST & KLEMAN RD, NEW HANOVER, Station 37",19525,Fire: CARBON MONOXIDE DETECTOR
"7/2/2019 7:54, SWEDE ST & W PENN ST, NORRISTOWN, Station 27",19401,Fire: FIRE ALARM
"7/2/2019 8:08, KRIEBEL MILL RD, WORCESTER, Station 83",19426,Fire: VEHICLE ACCIDENT
"7/2/2019 8:33, SCHUYLKILL AVE & DEKALB ST, NORRISTOWN, Station 27",19401,Fire: FIRE ALARM
"7/2/2019 9:50, LANDMARK LN & EMLEN WAY, UPPER DUBLIN, Station 88",NA,Fire: FIRE ALARM
"7/2/2019 10:14, DEKALB PIKE & CONNECTING ROAD, UPPER MERION, Station 47",NA,Fire: FIRE INVESTIGATION
"7/2/2019 10:33, FIELDS DR & HAIN DR, WHITEMARSH, Station 29",19444,Fire: CARDIAC ARREST
"7/2/2019 10:36, 1ST AVE & W MAIN ST, TRAPPE, Station 77",19426,Fire: FIRE ALARM
"7/2/2019 10:46, 4TH ST & MCCLELLAN ALY, POTTSTOWN, Station 69",19464,Fire: FIRE ALARM
"7/2/2019 10:52, LANCASTER AVE & W OLD WYNNEWOOD RD, LOWER MERION, Station 25",19096,Fire: FIRE ALARM
"7/2/2019 11:28, 6TH AVE & WOOD ST, CONSHOHOCKEN, Station 36",19428,Fire: CARBON MONOXIDE DETECTOR
"7/2/2019 11:35, WELSH RD & BLAIR MILL RD, HORSHAM, Station 15",19044,Fire: FIRE INVESTIGATION
"7/2/2019 12:42, DEKALB PIKE & COLONIAL DR, EAST NORRITON, Station 61",19401,Fire: FIRE ALARM
"7/2/2019 13:06, THORNBROOK AVE & IVYMONT RD, LOWER MERION, Station 23",19010,Fire: FIRE ALARM
"7/2/2019 13:15, KELLOGG DR & JOHNSON LN, LOWER GWYNEDD, Station 7",19002,Fire: FIRE ALARM
"7/2/2019 13:34, BETHLEHEM PIKE & GORDON RD, SPRINGFIELD, Station 6",19038,Fire: UNKNOWN TYPE FIRE
"7/2/2019 13:50, CIRCLE DR & LOWER FARM RD, NORRISTOWN, Station 27",19403,Fire: FIRE ALARM
"7/2/2019 13:56, DEKALB PIKE & CONNECTING ROAD, UPPER MERION, Station 47",NA,Fire: FIRE INVESTIGATION
"7/2/2019 14:18, MORELAND RD & EASTON RD, ABINGTON, Station 500",19090,Fire: FIRE ALARM
"7/2/2019 14:22, MAIN ST & E 9TH AVE, COLLEGEVILLE, Station 34",19426,Fire: CARDIAC ARREST
"7/2/2019 15:19, KING ST & PENN ST, POTTSTOWN, Station 69",19464,Fire: FIRE ALARM
"7/2/2019 15:31, ITHAN AVE & GRAMONT LN, DELAWARE COUNTY, Station 23",19085,Fire: FIRE ALARM
"7/2/2019 16:06, MORELAND RD & EASTON RD, ABINGTON, Station 500",19090,Fire: FIRE ALARM
"7/2/2019 16:15, GRAVEL PIKE, MARLBOROUGH, Station 42",NA,Fire: GAS-ODOR/LEAK
"7/2/2019 16:19, WHITPAIN HLS & SKIPPACK PIKE, WHITPAIN, Station 33",19422,Fire: FIRE SPECIAL SERVICE
"7/2/2019 16:53, FRANKS RD & TOMLINSON RD, LOWER MORELAND, Station 8",19006,Fire: FIRE ALARM
"7/2/2019 16:59, PINE TREE RD & BAEDER RD, ABINGTON, Station 100",19046,Fire: BUILDING FIRE
"7/2/2019 16:59, HIGHLAND AVE & FORTUNE RD, ABINGTON, Station 100",19046,Fire: BUILDING FIRE
"7/2/2019 17:10, SPROUL RD & SUNNYHILL RD, DELAWARE COUNTY, Station 23",19085,Fire: FIRE ALARM
"7/2/2019 17:15, MAIN ST & E 3RD AVE, COLLEGEVILLE, Station 34",19426,Fire: FIRE ALARM
"7/2/2019 17:19, EDGE HILL RD & FERNDALE AVE, ABINGTON, Station 100",19001,Fire: FIRE ALARM
"7/2/2019 17:24, PENNSYLVANIA TPKE & WELSH RD OVERPASS, UPPER MORELAND, Station 88",NA,Fire: VEHICLE FIRE
"7/2/2019 17:30, MORRIS RD, LOWER SALFORD, Station 89",19438,Fire: VEHICLE ACCIDENT
"7/2/2019 17:36, EASTON RD & CROSS RD, ABINGTON, Station 300",19038,Fire: FIRE ALARM
"7/2/2019 17:30, STORE RD & MORRIS RD, LOWER SALFORD, Station 89",19438,Fire: VEHICLE ACCIDENT
"7/2/2019 17:56, WALNUT ST & PENN ST, POTTSTOWN, Station 69",19464,Fire: GAS-ODOR/LEAK
"7/2/2019 18:02, ANCHOR CT & RIVERFRONT DR, ROYERSFORD, Station 98",19468,Fire: FIRE ALARM
"7/2/2019 18:10, HALLOWELL ST & UNNAMED ALY, CONSHOHOCKEN, Station 35",19428,Fire: FIRE ALARM
"7/2/2019 18:22, JAMES ST & MARKLEY ST, NORRISTOWN, Station 27",19401,Fire: FIRE ALARM
"7/2/2019 19:01, CEDAR RD & CEDAR GLEN RD, ABINGTON, Station 200",19027,Fire: FIRE ALARM
"7/2/2019 19:28, FAYETTE ST & E 1ST AVE, CONSHOHOCKEN, Station 36",19428,Fire: FIRE ALARM
"7/2/2019 19:50, NUTMEG CT & CROSSHILL RD, UPPER PROVIDENCE, Station 98",19468,Fire: FIRE ALARM
"7/2/2019 19:59, STENTON AVE & MILITIA HILL RD, WHITEMARSH, Station 29",19034,Fire: FIRE ALARM
"7/2/2019 19:59, S KEIM ST, POTTSTOWN, Station 69",19464,Fire: FIRE SPECIAL SERVICE
"7/2/2019 20:32, DEWEES PL & HERITAGE PARK BLVD, TRAPPE, Station 77",19426,Fire: FIRE SPECIAL SERVICE
"7/2/2019 20:45, MILL ROAD CIR & MEETINGHOUSE RD, ABINGTON, Station 200",19046,Fire: CARBON MONOXIDE DETECTOR
"7/2/2019 20:49, CORNERSTONE LN & STONE CREEK LN, DELAWARE COUNTY, Station 23",19010,Fire: FIRE INVESTIGATION
"7/2/2019 21:03, MONTGOMERY AVE & RADNOR ST, LOWER MERION, Station 23",19010,Fire: BUILDING FIRE
"7/2/2019 21:55, WOODLAWN RD & BROOKSIDE RD, EAST NORRITON, Station 61",19401,Fire: BUILDING FIRE
"7/2/2019 22:46, NEW SECOND ST & SUNNYBROOK AVE, CHELTENHAM, Station 3",19027,Fire: CARBON MONOXIDE DETECTOR
"7/2/2019 23:09, BETHLEHEM PIKE & SPRINGFIELD AVE, SPRINGFIELD, Station 6",19031,Fire: FIRE SPECIAL SERVICE
"7/2/2019 23:17, SWEDE RD & MEADOWBROOK RD, EAST NORRITON, Station 61",19401,Fire: FIRE ALARM
"7/3/2019 0:05, HIDDEN LN & OLD YORK RD, ABINGTON, Station 100",19001,Fire: FIRE INVESTIGATION
"7/3/2019 0:22, MONTICELLO PL & NORWAY DR, LANSDALE, Station 14",19446,Fire: ELECTRICAL FIRE OUTSIDE
"7/3/2019 0:28, RIDGE PIKE & N TOWNSHIP LINE RD, LIMERICK, Station 54",19468,Fire: CARBON MONOXIDE DETECTOR
"7/3/2019 2:43, GYPSY LN & LONGVIEW RD, UPPER MERION, Station 48",19406,Fire: ELECTRICAL FIRE OUTSIDE
"7/3/2019 3:31, FAGLEYSVILLE RD & WAGNER RD, NEW HANOVER, Station 37",19525,Fire: VEHICLE ACCIDENT
"7/3/2019 4:12, COULTER AVE & ST JAMES PL, LOWER MERION, Station 25",19003,Fire: FIRE ALARM
"7/3/2019 5:33, RIVER RD & SCHUYLKILL RIVER TRL OVERPASS, WHITEMARSH, Station 45",NA,Fire: ELECTRICAL FIRE OUTSIDE
"7/3/2019 5:44, SCHUYLKILL EXPY & BLUEROUTE OVERPASS, WEST CONSHOHOCKEN, Station 39",NA,Fire: VEHICLE ACCIDENT
"7/3/2019 5:44, SCHUYLKILL EXPY & MATSONFORD RD EXIT UNDERPASS, WEST CONSHOHOCKEN, Station 39",NA,Fire: VEHICLE ACCIDENT
"7/3/2019 6:14, GERMANTOWN PIKE & MARPLE LN, WHITEMARSH, Station 29",19462,Fire: BUILDING FIRE
"7/3/2019 7:29, KRIEBEL MILL RD & GERMANTOWN PIKE, WORCESTER, Station 83",19426,Fire: FIRE ALARM
"7/3/2019 7:38, BETHLEHEM PIKE, HATFIELD TOWNSHIP, Station 12",NA,Fire: VEHICLE ACCIDENT
"7/3/2019 8:04, YERGER RD, LOWER FREDERICK, Station 52",19473,Fire: ELECTRICAL FIRE OUTSIDE
"7/3/2019 8:14, TRIANON LN & CHALOUS LN, DELAWARE COUNTY, Station 23",19085,Fire: CARBON MONOXIDE DETECTOR
"7/3/2019 8:04, YERGER RD & GERLOFF RD, LOWER FREDERICK, Station 52",19473,Fire: FIRE POLICE NEEDED
"7/3/2019 8:29, BARBADOES ST & FIG ALY, NORRISTOWN, Station 27",19401,Fire: DEBRIS/FLUIDS ON HIGHWAY
"7/3/2019 8:42, VALLEY FORGE CIR & OLD VALLEY FORGE RD, UPPER MERION, Station 47",19406,Fire: FIRE ALARM
"7/3/2019 8:49, SWEDE ST & W MARSHALL ST, NORRISTOWN, Station 27",19401,Fire: FIRE SPECIAL SERVICE
"7/3/2019 9:00, BETHLEHEM PIKE & NORTH WALES RD, MONTGOMERY, Station 18",19454,Fire: FIRE INVESTIGATION
"7/3/2019 9:14, OLD YORK RD & BUTLER AVE, ABINGTON, Station 100",19001,Fire: VEHICLE ACCIDENT
"7/3/2019 9:23, MAIN ST & E BROAD ST, TELFORD, Station 75",18964,Fire: FIRE SPECIAL SERVICE
"7/3/2019 9:37, BUTLER AVE & S MAIN ST, AMBLER, Station 7",19002,Fire: FIRE ALARM
"7/3/2019 9:50, ITHAN AVE & CONESTOGA RD, DELAWARE COUNTY, Station 23",19010,Fire: FIRE ALARM
"7/3/2019 9:56, ROCKWELL RD & TREMONT AVE, ABINGTON, Station 100",19001,Fire: FIRE ALARM
"7/3/2019 10:00, GERMANTOWN PIKE & HANNAH AVE, EAST NORRITON, Station 61",19401,Fire: FIRE ALARM
"7/3/2019 10:01, TWINING RD & VALLEY RD, UPPER DUBLIN, Station 88",19075,Fire: FIRE ALARM
"7/3/2019 10:10, WELSH RD & NORRISTOWN RD, HORSHAM, Station 15",19044,Fire: FIRE ALARM
"7/3/2019 10:22, MAIN ST & S MITCHELL AVE, LANSDALE, Station 14",19446,Fire: FIRE ALARM
"7/3/2019 10:43, ASHBOURNE RD & WOODLAWN AVE, CHELTENHAM, Station 3",19027,Fire: FIRE ALARM
"7/3/2019 10:56, CRESSMAN RD & MORWOOD RD, SALFORD, Station 72",18969,Fire: VEHICLE ACCIDENT
"7/3/2019 11:22, MARYLAND RD & COMMERCE AVE, UPPER MORELAND, Station 10",19090,Fire: FIRE ALARM
"7/3/2019 11:57, KEYSTONE DR & LINFIELD TRAPPE RD, LIMERICK, Station 51",19468,Fire: FIRE ALARM
"7/3/2019 12:05, BRYN MAWR AVE & RR UNDERPASS, DELAWARE COUNTY, Station 23",19010,Fire: FIRE ALARM
"7/3/2019 12:48, EASTON RD & CROSS RD, ABINGTON, Station 300",19038,Fire: FIRE ALARM
"7/3/2019 13:19, ALLENDALE RD & KEEBLER RD, UPPER MERION, Station 47",19406,Fire: FIRE ALARM
"7/3/2019 13:18, JOHNSON HWY & DEKALB ST, EAST NORRITON, Station 61",19401,Fire: FIRE ALARM
"7/3/2019 13:52, RT100 NB, DOUGLASS, Station 67",NA,Fire: VEHICLE ACCIDENT
"7/3/2019 14:27, 5TH AVE & W VALLEY FORGE RD, UPPER MERION, Station 47",19406,Fire: FIRE INVESTIGATION
"7/3/2019 15:54, SPRINGHOUSE LN & FARM DR, WHITPAIN, Station 33",19422,Fire: FIRE INVESTIGATION
"7/3/2019 16:49, WALNUT ST & S 4TH AVE, ROYERSFORD, Station 98",19468,Fire: FIRE ALARM
"7/3/2019 17:13, N CHARLOTTE ST, POTTSTOWN, Station 69",19464,Fire: FIRE SPECIAL SERVICE
"7/3/2019 17:19, CLEARVIEW ST & W 8TH ST, POTTSTOWN, Station 69",19464,Fire: FIRE SPECIAL SERVICE
"7/3/2019 17:22, HARVARD DR & YALE CT, TRAPPE, Station 77",19426,Fire: GAS-ODOR/LEAK
"7/3/2019 17:34, KINGSFIELD DR & SURREY DR, FRANCONIA, Station 74",18964,Fire: TRASH/DUMPSTER FIRE
"7/3/2019 17:46, WALDRON TER & MERION RD, LOWER MERION, Station 28",19066,Fire: TRASH/DUMPSTER FIRE
"7/3/2019 17:52, WASHINGTON ST & S 3RD AVE, ROYERSFORD, Station 98",19468,Fire: FIRE ALARM
"7/3/2019 18:38, BEECH ST & MANATAWNY ST, POTTSTOWN, Station 69",19464,Fire: FIRE SPECIAL SERVICE
"7/3/2019 18:52, FORGE RD & STATE ST, EAST GREENVILLE, Station 38",18041,Fire: FIRE INVESTIGATION
"7/3/2019 19:11, YORK RD & HORSHAM RD, HATBORO, Station 95",19040,Fire: FIRE ALARM
"7/3/2019 19:15, 2ND ST & E MONTGOMERY AVE, NORTH WALES, Station 62",19454,Fire: GAS-ODOR/LEAK
"7/3/2019 19:35, RED ROWEN LN & SUMMIT CT, PLYMOUTH, Station 44",19462,Fire: FIRE ALARM
"7/3/2019 19:38, LORINE LN & CAMBURN RD, WHITEMARSH, Station 29",19462,Fire: CARBON MONOXIDE DETECTOR
"7/3/2019 19:37, 2ND AVE & MYRTLE ST, ROYERSFORD, Station 98",19468,Fire: CARDIAC ARREST
"7/3/2019 19:49, LINCOLN AVE, CHELTENHAM, Station 4",19012,Fire: TRASH/DUMPSTER FIRE
"7/3/2019 20:06, ASBURY AVE & RICHARDS RD, CHELTENHAM, Station 3",19027,Fire: ELECTRICAL FIRE OUTSIDE
"7/3/2019 20:06, RICHARDS RD & ASBURY AVE, CHELTENHAM, Station 3",19027,Fire: ELECTRICAL FIRE OUTSIDE
"7/3/2019 20:39, WALNUT ST & S 7TH ST, NORTH WALES, Station 62",19454,Fire: BUILDING FIRE
"7/3/2019 20:41, PENN RD & AUBREY RD, LOWER MERION, Station 26",19096,Fire: ELEVATOR EMERGENCY
"7/3/2019 20:42, OLD YORK RD & ROCKWELL RD, ABINGTON, Station 100",19001,Fire: UNKNOWN TYPE FIRE
"7/3/2019 20:39, WALNUT ST & S 8TH ST, NORTH WALES, Station 62",19454,Fire: BUILDING FIRE
"7/3/2019 20:49, DEVONSHIRES CT & W BUTLER PIKE, WHITPAIN, Station 33",19422,Fire: FIRE ALARM
"7/3/2019 20:54, DELAWARE AVE & VIRGINIA DR, UPPER DUBLIN, Station 88",19034,Fire: FIRE ALARM
"7/3/2019 20:54, YORK RD & HORSHAM RD, HATBORO, Station 95",19040,Fire: FIRE ALARM
"7/3/2019 20:57, COLWELL LN, CONSHOHOCKEN, Station 36",19428,Fire: UNKNOWN TYPE FIRE
"7/3/2019 21:01, 6TH AVE & MAPLE ST, CONSHOHOCKEN, Station 36",19428,Fire: FIRE INVESTIGATION
"7/3/2019 21:12, BLACK ROCK RD & S COLLEGEVILLE RD, UPPER PROVIDENCE, Station 99",19460,Fire: FIRE INVESTIGATION
"7/3/2019 21:22, LAFAYETTE ST & WALNUT ST, NORRISTOWN, Station 27",19401,Fire: BUILDING FIRE
"7/3/2019 21:27, DEVONSHIRES CT & W BUTLER PIKE, WHITPAIN, Station 33",19422,Fire: FIRE ALARM
"7/3/2019 21:26, PENN ST & E MORELAND AVE, HATBORO, Station 95",19040,Fire: FIRE ALARM
"7/3/2019 21:29, GREENAWALT RD & HOLT LN, LOWER MORELAND, Station 8",19006,Fire: FIRE SPECIAL SERVICE
"7/3/2019 21:40, GODSHALL RD, PERKIOMEN, Station 66",19426,Fire: UNKNOWN TYPE FIRE
"7/3/2019 21:45, SCHUYLKILL EXPY & RAMP BELMONT AVE TO I76 WB, LOWER MERION, Station 22",NA,Fire: VEHICLE ACCIDENT
"7/3/2019 21:48, BETHLEHEM PIKE & COLLEGE AVE, SPRINGFIELD, Station 6",19031,Fire: S/B AT HELICOPTER LANDING
"7/3/2019 21:45, SCHUYLKILL EXPY & RR UNDERPASS, LOWER MERION, Station 22",NA,Fire: VEHICLE ACCIDENT
"7/3/2019 22:10, ANNA LYNN LN & LINDSEY WAY, HORSHAM, Station 15",19044,Fire: CARBON MONOXIDE DETECTOR
"7/3/2019 22:11, EASTON RD & TOXONY AVE, CHELTENHAM, Station 1",19038,Fire: UNKNOWN TYPE FIRE
"7/3/2019 22:18, CHAPEL RD & NORTHVIEW DR, UPPER DUBLIN, Station 88",19038,Fire: FIRE ALARM
"7/3/2019 22:44, PUTNAM RD & MEETING HOUSE LN, LOWER MERION, Station 28",19066,Fire: FIRE ALARM
"7/3/2019 23:35, MEADOWBROOK DR & HUNTINGDON PIKE, ABINGTON, Station 200",19006,Fire: FIRE ALARM
"7/3/2019 23:53, LATHAM PKWY & CONNECTING ROAD, CHELTENHAM, Station 2",NA,Fire: FIRE ALARM
"7/4/2019 0:04, GERMANTOWN PIKE & LAUNFALL RD, PLYMOUTH, Station 44",19462,Fire: FIRE ALARM
"7/4/2019 1:15, GERMANTOWN PIKE & LAUNFALL RD, PLYMOUTH, Station 44",19462,Fire: FIRE ALARM
"7/4/2019 2:14, HARVEST GLENN DR & YODER RD, LOWER SALFORD, Station 89",19438,Fire: CARBON MONOXIDE DETECTOR
"7/4/2019 3:28, JENKINTOWN RD & MONROE AVE, ABINGTON, Station 400",19038,Fire: FIRE ALARM
"7/4/2019 3:38, HUNTINGDON PIKE & OLD HUNTINGDON PIKE, ABINGTON, Station 200",19046,Fire: FIRE ALARM
"7/4/2019 4:23, AMERICAN AVE & 1ST AVE, UPPER MERION, Station 47",19406,Fire: GAS-ODOR/LEAK
"7/4/2019 7:01, MORWOOD RD & HEATH RD, FRANCONIA, Station 72",18969,Fire: FIRE ALARM
"7/4/2019 7:49, MAIN ST & SUSQUEHANNA AVE, LANSDALE, Station 14",19446,Fire: FIRE ALARM
"7/4/2019 8:02, ROSE LN & AVONWOOD RD, LOWER MERION, Station 25",19041,Fire: FIRE ALARM
"7/4/2019 8:16, BUCK RD & ALEXANDER RD, LOWER MORELAND, Station 8",19006,Fire: FIRE ALARM
"7/4/2019 10:14, SPRING MILL RD & EAGLE FARM RD, LOWER MERION, Station 23",19010,Fire: FIRE ALARM
"7/4/2019 10:58, HIGH ST, POTTSTOWN, Station 69",19464,Fire: FIRE SPECIAL SERVICE
"7/4/2019 11:09, CREEK RD & HUNTINGDON RD, UPPER MORELAND, Station 10",19006,Fire: FIRE ALARM
"7/4/2019 11:27, MATSONFORD RD & BLUEROUTE OVERPASS, WEST CONSHOHOCKEN, Station 39",NA,Fire: ELECTRICAL FIRE OUTSIDE
"7/4/2019 12:09, PENNYPACK RD & DAVISVILLE RD, UPPER MORELAND, Station 10",19040,Fire: FIRE INVESTIGATION
"7/4/2019 12:18, FORD ST, WEST CONSHOHOCKEN, Station 39",19428,Fire: FIRE ALARM
"7/4/2019 12:17, HORSHAM RD & DOYLESTOWN PIKE, MONTGOMERY, Station 18",NA,Fire: FIRE ALARM
"7/4/2019 12:18, FORD ST & FRONT ST, WEST CONSHOHOCKEN, Station 39",19428,Fire: FIRE ALARM
"7/4/2019 12:27, DEKALB PIKE & KING OF PRUSSIA RD, UPPER MERION, Station 47",19406,Fire: BUILDING FIRE
"7/4/2019 12:39, CHERRY ST & S CHARLOTTE ST, POTTSTOWN, Station 69",19464,Fire: FIRE SPECIAL SERVICE
"7/4/2019 13:17, STENTON AVE & NEWTON ST, SPRINGFIELD, Station 82",19038,Fire: FIRE ALARM
"7/4/2019 13:34, MAIN ST & S MITCHELL AVE, LANSDALE, Station 14",19446,Fire: FIRE ALARM
"7/4/2019 13:51, FITZWATERTOWN RD, UPPER DUBLIN, Station 88",NA,Fire: VEHICLE FIRE
"7/4/2019 14:26, MAIN ST & S MITCHELL AVE, LANSDALE, Station 14",19446,Fire: FIRE ALARM
"7/4/2019 14:28, WEIKEL RD & STONYBROOK LN, TOWAMENCIN, Station 76",19446,Fire: FIRE ALARM
"7/4/2019 14:58, COUNTY LINE RD, LOWER MORELAND, Station 8",NA,Fire: VEHICLE FIRE
"7/4/2019 15:04, KING ST & PENN ST, POTTSTOWN, Station 69",19464,Fire: ELEVATOR EMERGENCY
"7/4/2019 15:35, MAIN ST & HAWS AVE, NORRISTOWN, Station 27",19401,Fire: BUILDING FIRE
"7/4/2019 15:52, APIAN WAY & W MAIN ST, TRAPPE, Station 77",19426,Fire: CARDIAC ARREST
"7/4/2019 15:57, ELM ST & MAPLE ST, CONSHOHOCKEN, Station 36",19428,Fire: CARDIAC ARREST
"7/4/2019 16:09, VILSMEIER RD & MORNINGSIDE DR, MONTGOMERY, Station 18",19446,Fire: FIRE INVESTIGATION
"7/4/2019 16:20, QUARRY HALL RD & DELL RD, WORCESTER, Station 83",19426,Fire: FIRE ALARM
"7/4/2019 17:04, RIGHTERS FERRY RD & RR OVERPASS, LOWER MERION, Station 28",NA,Fire: FIRE ALARM
"7/4/2019 17:07, WUNDERLAND RD & TURNER AVE, ABINGTON, Station 500",19001,Fire: CARBON MONOXIDE DETECTOR
"7/4/2019 17:07, LANCASTER AVE & ANDERSON AVE, LOWER MERION, Station 25",19003,Fire: FIRE ALARM
"7/4/2019 17:11, WELSH RD & VERNON CT, HATFIELD TOWNSHIP, Station 17",19446,Fire: VEHICLE ACCIDENT
