Name,Date,Status,Category,Wind,Pressure,TS_diameter,HU_diameter
Charley,8/14/2004 18:00,tropical storm,0,60,1000,120.8319,0
Danielle,8/13/2004 12:00,tropical depression,-1,30,1009,0,0
Danielle,8/13/2004 18:00,tropical depression,-1,30,1009,0,0
Danielle,8/14/2004 0:00,tropical storm,0,35,1009,103.5702,0
Danielle,8/14/2004 6:00,tropical storm,0,40,1004,115.078,0
Danielle,8/14/2004 12:00,tropical storm,0,45,1004,126.5858,0
Danielle,8/14/2004 18:00,tropical storm,0,55,994,189.8787,0
Danielle,8/15/2004 0:00,hurricane,1,65,987,224.4021,46.0312
Danielle,8/15/2004 6:00,hurricane,1,75,981,224.4021,51.7851
Danielle,8/15/2004 12:00,hurricane,1,80,978,224.4021,51.7851
Danielle,8/15/2004 18:00,hurricane,2,85,975,224.4021,57.539
Danielle,8/16/2004 0:00,hurricane,2,90,970,218.6482,46.0312
Danielle,8/16/2004 6:00,hurricane,2,90,970,207.1404,46.0312
Danielle,8/16/2004 12:00,hurricane,2,90,970,189.8787,46.0312
Danielle,8/16/2004 18:00,hurricane,2,95,964,172.617,51.7851
Danielle,8/17/2004 0:00,hurricane,2,95,965,172.617,51.7851
Danielle,8/17/2004 6:00,hurricane,2,90,970,172.617,46.0312
Danielle,8/17/2004 12:00,hurricane,2,90,970,172.617,40.2773
Danielle,8/17/2004 18:00,hurricane,2,85,974,172.617,46.0312
Danielle,8/18/2004 0:00,hurricane,1,75,981,172.617,46.0312
Danielle,8/18/2004 6:00,hurricane,1,65,985,149.6014,23.0156
Danielle,8/18/2004 12:00,tropical storm,0,55,994,138.0936,0
Danielle,8/18/2004 18:00,tropical storm,0,45,1005,103.5702,0
Danielle,8/19/2004 0:00,tropical storm,0,40,1007,138.0936,0
Danielle,8/19/2004 6:00,tropical storm,0,40,1007,103.5702,0
Danielle,8/19/2004 12:00,tropical storm,0,35,1007,103.5702,0
Danielle,8/19/2004 18:00,tropical storm,0,35,1007,103.5702,0
Danielle,8/20/2004 0:00,tropical storm,0,35,1009,103.5702,0
Danielle,8/20/2004 6:00,tropical storm,0,35,1010,103.5702,0
Danielle,8/20/2004 12:00,tropical storm,0,35,1011,103.5702,0
Danielle,8/20/2004 18:00,tropical depression,-1,30,1012,0,0
Danielle,8/21/2004 0:00,tropical depression,-1,30,1012,0,0
Danielle,8/21/2004 6:00,tropical depression,-1,30,1013,0,0
Danielle,8/21/2004 12:00,tropical depression,-1,25,1014,0,0
Gaston,8/27/2004 12:00,tropical depression,-1,25,1015,0,0
Gaston,8/27/2004 18:00,tropical depression,-1,25,1014,0,0
Gaston,8/28/2004 0:00,tropical depression,-1,30,1011,0,0
Gaston,8/28/2004 6:00,tropical storm,0,35,1005,57.539,0
Gaston,8/28/2004 12:00,tropical storm,0,45,1000,57.539,0
Gaston,8/28/2004 18:00,tropical storm,0,50,997,132.3397,0
Gaston,8/29/2004 0:00,tropical storm,0,55,994,115.078,0
Gaston,8/29/2004 6:00,tropical storm,0,60,991,115.078,0
Gaston,8/29/2004 12:00,hurricane,1,65,986,92.0624,11.5078
Gaston,8/29/2004 18:00,tropical storm,0,45,992,69.0468,0
Gaston,8/30/2004 0:00,tropical depression,-1,30,995,0,0
Gaston,8/30/2004 6:00,tropical depression,-1,30,998,0,0
Gaston,8/30/2004 12:00,tropical depression,-1,25,1000,0,0
Gaston,8/30/2004 18:00,tropical depression,-1,30,1002,0,0
Gaston,8/31/2004 0:00,tropical storm,0,35,1001,51.7851,0
Gaston,8/31/2004 6:00,tropical storm,0,35,1001,51.7851,0
Gaston,8/31/2004 12:00,tropical storm,0,35,1001,51.7851,0
Gaston,8/31/2004 18:00,tropical storm,0,35,999,138.0936,0
Gaston,9/1/2004 0:00,tropical storm,0,40,999,172.617,0
Gaston,9/1/2004 6:00,tropical storm,0,45,999,207.1404,0
Hermine,8/27/2004 18:00,tropical depression,-1,25,1016,0,0
Hermine,8/28/2004 0:00,tropical depression,-1,25,1016,0,0
Hermine,8/28/2004 6:00,tropical depression,-1,25,1016,0,0
Hermine,8/28/2004 12:00,tropical depression,-1,30,1015,0,0
Hermine,8/28/2004 18:00,tropical depression,-1,30,1015,0,0
Hermine,8/29/2004 0:00,tropical depression,-1,30,1014,0,0
Hermine,8/29/2004 6:00,tropical depression,-1,30,1014,0,0
Hermine,8/29/2004 12:00,tropical storm,0,35,1012,86.3085,0
Hermine,8/29/2004 18:00,tropical storm,0,40,1005,86.3085,0
Hermine,8/30/2004 0:00,tropical storm,0,40,1005,115.078,0
Hermine,8/30/2004 6:00,tropical storm,0,50,1002,103.5702,0
Hermine,8/30/2004 12:00,tropical storm,0,45,1007,115.078,0
Hermine,8/30/2004 18:00,tropical storm,0,45,1008,143.8475,0
Hermine,8/31/2004 0:00,tropical storm,0,35,1011,46.0312,0
Hermine,8/31/2004 6:00,tropical storm,0,35,1012,28.7695,0
Ivan,9/2/2004 18:00,tropical depression,-1,25,1009,0,0
Ivan,9/3/2004 0:00,tropical depression,-1,30,1007,0,0
Ivan,9/3/2004 6:00,tropical storm,0,35,1005,57.539,0
Ivan,9/3/2004 12:00,tropical storm,0,40,1003,57.539,0
Ivan,9/3/2004 18:00,tropical storm,0,45,1000,212.8943,0
Ivan,9/4/2004 0:00,tropical storm,0,45,999,212.8943,0
Ivan,9/4/2004 6:00,tropical storm,0,50,997,184.1248,0
Ivan,9/4/2004 12:00,tropical storm,0,50,997,184.1248,0
Ivan,9/4/2004 18:00,tropical storm,0,55,994,184.1248,0
Ivan,9/5/2004 0:00,tropical storm,0,60,991,218.6482,0
Ivan,9/5/2004 6:00,hurricane,1,65,987,207.1404,46.0312
Ivan,9/5/2004 12:00,hurricane,2,85,977,230.156,46.0312
Ivan,9/5/2004 18:00,hurricane,3,110,955,230.156,46.0312
Ivan,9/6/2004 6:00,hurricane,3,110,950,253.1716,69.0468
Ivan,9/6/2004 12:00,hurricane,3,110,955,276.1872,69.0468
Ivan,9/6/2004 18:00,hurricane,2,90,969,195.6326,51.7851
Ivan,9/7/2004 0:00,hurricane,2,90,964,218.6482,69.0468
Ivan,9/7/2004 6:00,hurricane,2,95,965,230.156,86.3085
Ivan,9/7/2004 12:00,hurricane,3,100,963,230.156,86.3085
Ivan,9/7/2004 18:00,hurricane,3,105,956,304.9567,86.3085
Ivan,9/16/2004 0:00,hurricane,3,110,931,460.312,189.8787
Ivan,9/16/2004 6:00,hurricane,3,105,943,402.773,189.8787
Ivan,9/16/2004 12:00,hurricane,1,70,965,374.0035,92.0624
Ivan,9/16/2004 18:00,tropical storm,0,50,975,115.078,0
Ivan,9/17/2004 0:00,tropical depression,-1,30,986,0,0
Ivan,9/17/2004 6:00,tropical depression,-1,25,991,0,0
Ivan,9/17/2004 12:00,tropical depression,-1,20,994,0,0
Ivan,9/17/2004 18:00,tropical depression,-1,20,996,0,0
Ivan,9/18/2004 0:00,tropical depression,-1,20,999,0,0
Ivan,9/18/2004 6:00,tropical depression,-1,15,998,0,0
Ivan,9/18/2004 12:00,tropical depression,-1,15,1000,0,0
Ivan,9/22/2004 18:00,tropical depression,-1,30,1008,0,0
Ivan,9/23/2004 0:00,tropical storm,0,35,1007,86.3085,0
Ivan,9/23/2004 6:00,tropical storm,0,35,1007,86.3085,0
Ivan,9/23/2004 12:00,tropical storm,0,50,998,115.078,0
Ivan,9/23/2004 18:00,tropical storm,0,40,1003,103.5702,0
Ivan,9/24/2004 0:00,tropical depression,-1,30,1003,0,0
Ivan,9/24/2004 2:00,tropical depression,-1,30,1004,0,0
Ivan,9/24/2004 6:00,tropical depression,-1,25,1009,0,0
AL102004,9/7/2004 12:00,tropical depression,-1,25,1009,0,0
AL102004,9/7/2004 18:00,tropical depression,-1,25,1009,0,0
AL102004,9/8/2004 0:00,tropical depression,-1,25,1010,0,0
AL102004,9/8/2004 6:00,tropical depression,-1,25,1011,0,0
AL102004,9/8/2004 12:00,tropical depression,-1,25,1012,0,0
AL102004,9/8/2004 18:00,tropical depression,-1,25,1012,0,0
AL102004,9/9/2004 0:00,tropical depression,-1,30,1012,0,0
AL102004,9/9/2004 6:00,tropical depression,-1,30,1013,0,0
Jeanne,9/13/2004 18:00,tropical depression,-1,25,1010,0,0
Jeanne,9/14/2004 0:00,tropical depression,-1,25,1010,0,0
Jeanne,9/14/2004 4:00,tropical depression,-1,30,1009,0,0
Jeanne,9/14/2004 6:00,tropical depression,-1,30,1009,0,0
Jeanne,9/14/2004 12:00,tropical storm,0,35,1006,51.7851,0
Jeanne,9/14/2004 18:00,tropical storm,0,50,996,80.5546,0
Jeanne,9/15/2004 0:00,tropical storm,0,55,996,80.5546,0
Jeanne,9/15/2004 6:00,tropical storm,0,55,994,80.5546,0
Jeanne,9/15/2004 12:00,tropical storm,0,60,991,115.078,0
Jeanne,9/15/2004 18:00,tropical storm,0,60,991,138.0936,0
Jeanne,9/16/2004 0:00,tropical storm,0,60,993,138.0936,0
Jeanne,9/16/2004 6:00,tropical storm,0,60,992,63.2929,0
Jeanne,9/16/2004 12:00,hurricane,1,70,984,63.2929,23.0156
Jeanne,9/16/2004 18:00,hurricane,1,65,988,138.0936,23.0156
Jeanne,9/17/2004 0:00,tropical storm,0,60,990,138.0936,0
Jeanne,9/17/2004 6:00,tropical storm,0,55,990,138.0936,0
Jeanne,9/17/2004 12:00,tropical storm,0,50,990,258.9255,0
Jeanne,9/17/2004 18:00,tropical depression,-1,30,1002,0,0
Jeanne,9/18/2004 0:00,tropical storm,0,40,1000,17.2617,0
Jeanne,9/18/2004 6:00,tropical storm,0,45,1000,86.3085,0
Jeanne,9/18/2004 12:00,tropical storm,0,45,1000,86.3085,0
Jeanne,9/18/2004 18:00,tropical storm,0,40,1005,86.3085,0
Jeanne,9/19/2004 0:00,tropical storm,0,40,1002,86.3085,0
Jeanne,9/19/2004 6:00,tropical storm,0,40,1002,86.3085,0
Jeanne,9/19/2004 12:00,tropical storm,0,40,1000,86.3085,0
Jeanne,9/19/2004 18:00,tropical storm,0,45,996,172.617,0
Jeanne,9/20/2004 0:00,tropical storm,0,50,994,172.617,0
Jeanne,9/20/2004 6:00,tropical storm,0,55,992,189.8787,0
Jeanne,9/20/2004 12:00,tropical storm,0,60,989,195.6326,0
Jeanne,9/20/2004 18:00,hurricane,1,75,984,195.6326,46.0312
Jeanne,9/21/2004 0:00,hurricane,1,75,982,207.1404,46.0312
Jeanne,9/21/2004 6:00,hurricane,1,75,972,224.4021,86.3085
Jeanne,9/21/2004 12:00,hurricane,1,75,972,224.4021,80.5546
Jeanne,9/21/2004 18:00,hurricane,1,75,972,224.4021,80.5546
Jeanne,9/22/2004 0:00,hurricane,1,80,972,218.6482,80.5546
Jeanne,9/22/2004 6:00,hurricane,2,85,968,241.6638,80.5546
Jeanne,9/22/2004 12:00,hurricane,2,85,968,253.1716,80.5546
Jeanne,9/22/2004 18:00,hurricane,2,85,967,253.1716,80.5546
Jeanne,9/23/2004 0:00,hurricane,2,85,966,253.1716,80.5546
Jeanne,9/23/2004 6:00,hurricane,2,85,966,253.1716,80.5546
Jeanne,9/23/2004 12:00,hurricane,1,80,966,253.1716,80.5546
Jeanne,9/23/2004 18:00,hurricane,1,75,966,253.1716,80.5546
Jeanne,9/24/2004 0:00,hurricane,1,70,966,253.1716,80.5546
Jeanne,9/24/2004 6:00,hurricane,1,75,969,258.9255,80.5546
Jeanne,9/24/2004 12:00,hurricane,1,80,969,270.4333,86.3085
Jeanne,9/24/2004 18:00,hurricane,2,85,968,270.4333,86.3085
Jeanne,9/25/2004 0:00,hurricane,2,85,964,327.9723,120.8319
Jeanne,9/25/2004 6:00,hurricane,2,90,960,327.9723,120.8319
Jeanne,9/25/2004 12:00,hurricane,3,100,957,293.4489,120.8319
Jeanne,9/25/2004 18:00,hurricane,3,105,952,310.7106,120.8319
Jeanne,9/26/2004 0:00,hurricane,3,105,951,350.9879,138.0936
Jeanne,9/26/2004 6:00,hurricane,2,95,953,350.9879,115.078
Jeanne,9/26/2004 12:00,hurricane,1,75,965,316.4645,34.5234
Jeanne,9/26/2004 18:00,tropical storm,0,55,970,316.4645,0
Jeanne,9/27/2004 0:00,tropical storm,0,45,978,258.9255,0
Jeanne,9/27/2004 6:00,tropical storm,0,40,981,304.9567,0
Jeanne,9/27/2004 12:00,tropical storm,0,35,987,304.9567,0
Jeanne,9/27/2004 18:00,tropical depression,-1,30,993,0,0
Jeanne,9/28/2004 0:00,tropical depression,-1,25,998,0,0
Jeanne,9/28/2004 6:00,tropical depression,-1,20,999,0,0
Jeanne,9/28/2004 12:00,tropical depression,-1,20,1000,0,0
Jeanne,9/28/2004 18:00,tropical depression,-1,25,999,0,0
Karl,9/16/2004 6:00,tropical depression,-1,30,1008,0,0
Karl,9/16/2004 12:00,tropical depression,-1,30,1007,0,0
Karl,9/16/2004 18:00,tropical storm,0,35,1005,69.0468,0
Karl,9/17/2004 0:00,tropical storm,0,40,1002,92.0624,0
Karl,9/17/2004 6:00,tropical storm,0,50,997,126.5858,0
Karl,9/17/2004 12:00,tropical storm,0,55,994,138.0936,0
Karl,9/17/2004 18:00,tropical storm,0,55,992,172.617,0
Karl,9/18/2004 0:00,hurricane,1,70,984,172.617,28.7695
Karl,9/18/2004 6:00,hurricane,2,85,975,195.6326,40.2773
Karl,9/18/2004 12:00,hurricane,2,90,970,241.6638,40.2773
Karl,9/18/2004 18:00,hurricane,2,95,965,241.6638,51.7851
Karl,9/19/2004 0:00,hurricane,2,95,965,241.6638,51.7851
Karl,9/19/2004 6:00,hurricane,3,100,960,258.9255,63.2929
Karl,9/19/2004 12:00,hurricane,3,105,955,241.6638,63.2929
Karl,9/19/2004 18:00,hurricane,3,110,951,276.1872,69.0468
Karl,9/20/2004 0:00,hurricane,3,110,951,276.1872,69.0468
Karl,9/20/2004 12:00,hurricane,3,110,951,356.7418,103.5702
Karl,9/20/2004 18:00,hurricane,3,110,951,374.0035,120.8319
Karl,9/21/2004 18:00,hurricane,3,105,948,517.851,172.617
Karl,9/22/2004 0:00,hurricane,3,100,955,517.851,172.617
Karl,9/22/2004 6:00,hurricane,2,95,962,517.851,172.617
Karl,9/22/2004 12:00,hurricane,2,90,967,517.851,172.617
Karl,9/22/2004 18:00,hurricane,2,90,970,517.851,172.617
Karl,9/23/2004 0:00,hurricane,2,95,965,546.6205,143.8475
Karl,9/23/2004 6:00,hurricane,3,110,951,575.39,143.8475
Karl,9/23/2004 12:00,hurricane,3,105,953,604.1595,143.8475
Karl,9/23/2004 18:00,hurricane,2,90,955,632.929,143.8475
Karl,9/24/2004 0:00,hurricane,1,80,957,632.929,143.8475
Karl,9/24/2004 6:00,hurricane,1,75,959,661.6985,143.8475
Karl,9/24/2004 12:00,hurricane,1,70,961,690.468,161.1092
Karl,9/24/2004 18:00,hurricane,1,65,962,776.7765,161.1092
Lisa,9/19/2004 18:00,tropical depression,-1,30,1004,0,0
Lisa,9/20/2004 0:00,tropical depression,-1,30,1004,0,0
Lisa,9/20/2004 6:00,tropical depression,-1,30,1004,0,0
Lisa,9/20/2004 12:00,tropical storm,0,40,1002,92.0624,0
Lisa,9/20/2004 18:00,tropical storm,0,50,997,103.5702,0
Lisa,9/21/2004 0:00,tropical storm,0,55,994,103.5702,0
Lisa,9/21/2004 6:00,tropical storm,0,60,990,103.5702,0
Lisa,9/21/2004 12:00,tropical storm,0,60,990,103.5702,0
Lisa,9/21/2004 18:00,tropical storm,0,60,990,103.5702,0
Lisa,9/22/2004 0:00,tropical storm,0,55,994,115.078,0
Lisa,9/22/2004 6:00,tropical storm,0,50,997,115.078,0
Lisa,9/22/2004 12:00,tropical storm,0,45,1000,92.0624,0
Lisa,9/22/2004 18:00,tropical storm,0,45,1000,92.0624,0
Lisa,9/23/2004 0:00,tropical storm,0,45,1000,92.0624,0
Lisa,9/23/2004 6:00,tropical storm,0,40,1002,115.078,0
Lisa,9/23/2004 12:00,tropical storm,0,35,1003,115.078,0
Lisa,9/23/2004 18:00,tropical depression,-1,30,1005,0,0
Lisa,9/24/2004 0:00,tropical depression,-1,30,1005,0,0
Lisa,9/24/2004 6:00,tropical storm,0,40,1002,69.0468,0
Lisa,9/24/2004 12:00,tropical storm,0,35,1003,69.0468,0
Lisa,9/24/2004 18:00,tropical depression,-1,30,1005,0,0
Lisa,9/25/2004 0:00,tropical depression,-1,30,1005,0,0
Lisa,9/25/2004 6:00,tropical storm,0,35,1003,86.3085,0
Lisa,9/25/2004 12:00,tropical storm,0,45,1000,86.3085,0
Lisa,9/25/2004 18:00,tropical storm,0,45,1000,86.3085,0
Lisa,9/26/2004 0:00,tropical storm,0,45,1000,115.078,0
Lisa,9/26/2004 6:00,tropical storm,0,50,997,172.617,0
Lisa,9/26/2004 12:00,tropical storm,0,55,994,172.617,0
Lisa,9/26/2004 18:00,tropical storm,0,50,997,172.617,0
Lisa,9/27/2004 0:00,tropical storm,0,45,1000,201.3865,0
Lisa,9/27/2004 6:00,tropical storm,0,45,1000,230.156,0
Lisa,9/27/2004 12:00,tropical storm,0,45,1000,172.617,0
Lisa,9/27/2004 18:00,tropical storm,0,40,1002,86.3085,0
Lisa,9/28/2004 0:00,tropical storm,0,40,1002,143.8475,0
Lisa,9/28/2004 6:00,tropical storm,0,40,1002,143.8475,0
Lisa,9/28/2004 12:00,tropical storm,0,45,1000,143.8475,0
Lisa,9/28/2004 18:00,tropical storm,0,55,994,143.8475,0
Lisa,9/29/2004 0:00,tropical storm,0,60,990,172.617,0
Lisa,9/29/2004 6:00,tropical storm,0,60,990,287.695,0
Lisa,9/29/2004 12:00,tropical storm,0,60,990,316.4645,0
Lisa,9/29/2004 18:00,tropical storm,0,60,990,316.4645,0
Lisa,9/30/2004 0:00,tropical storm,0,60,990,402.773,0
Lisa,9/30/2004 6:00,tropical storm,0,55,994,402.773,0
Lisa,9/30/2004 12:00,tropical storm,0,50,997,264.6794,0
Lisa,9/30/2004 18:00,tropical storm,0,45,1000,212.8943,0
Lisa,10/1/2004 0:00,tropical storm,0,50,997,212.8943,0
Lisa,10/1/2004 6:00,tropical storm,0,55,994,212.8943,0
Lisa,10/1/2004 12:00,tropical storm,0,60,990,172.617,0
Lisa,10/1/2004 18:00,tropical storm,0,60,990,149.6014,0
Lisa,10/2/2004 0:00,tropical storm,0,60,990,149.6014,0
Lisa,10/2/2004 6:00,hurricane,1,65,987,149.6014,23.0156
Lisa,10/2/2004 12:00,hurricane,1,65,987,149.6014,23.0156
Lisa,10/2/2004 18:00,tropical storm,0,55,994,143.8475,0
Lisa,10/3/2004 0:00,tropical storm,0,50,997,143.8475,0
Matthew,10/8/2004 12:00,tropical depression,-1,30,1007,0,0
Matthew,10/8/2004 18:00,tropical storm,0,35,1004,172.617,0
Matthew,10/9/2004 0:00,tropical storm,0,40,1000,172.617,0
Matthew,10/9/2004 6:00,tropical storm,0,35,1002,115.078,0
Matthew,10/9/2004 12:00,tropical storm,0,35,1002,115.078,0
Matthew,10/9/2004 18:00,tropical storm,0,40,997,138.0936,0
Matthew,10/10/2004 0:00,tropical storm,0,40,998,138.0936,0
Matthew,10/10/2004 6:00,tropical storm,0,40,999,115.078,0
Matthew,10/10/2004 12:00,tropical depression,-1,30,1000,0,0
Matthew,10/10/2004 18:00,tropical depression,-1,25,1002,0,0
Otto,11/30/2004 18:00,tropical storm,0,40,997,201.3865,0
Otto,12/1/2004 0:00,tropical storm,0,40,997,241.6638,0
Otto,12/1/2004 6:00,tropical storm,0,40,997,241.6638,0
Otto,12/1/2004 12:00,tropical storm,0,40,997,184.1248,0
Otto,12/1/2004 18:00,tropical storm,0,35,997,138.0936,0
Otto,12/2/2004 0:00,tropical storm,0,35,997,103.5702,0
Otto,12/2/2004 6:00,tropical storm,0,35,996,74.8007,0
Otto,12/2/2004 12:00,tropical depression,-1,30,995,0,0
Otto,12/2/2004 18:00,tropical depression,-1,30,996,0,0
Otto,12/3/2004 0:00,tropical depression,-1,30,997,0,0
Emily,7/11/2005 0:00,tropical depression,-1,25,1010,0,0
Emily,7/11/2005 6:00,tropical depression,-1,30,1009,0,0
Emily,7/11/2005 12:00,tropical depression,-1,30,1009,0,0
Emily,7/11/2005 18:00,tropical depression,-1,30,1007,0,0
Emily,7/12/2005 0:00,tropical storm,0,35,1006,57.539,0
Emily,7/12/2005 6:00,tropical storm,0,40,1005,57.539,0
Emily,7/12/2005 12:00,tropical storm,0,45,1004,74.8007,0
Emily,7/12/2005 18:00,tropical storm,0,45,1004,74.8007,0
Emily,7/13/2005 0:00,tropical storm,0,45,1003,115.078,0
Emily,7/13/2005 6:00,tropical storm,0,45,1003,143.8475,0
Emily,7/13/2005 12:00,tropical storm,0,50,1003,149.6014,0
Emily,7/13/2005 18:00,tropical storm,0,55,1003,218.6482,0
Emily,7/14/2005 0:00,hurricane,1,70,999,218.6482,23.0156
Emily,7/14/2005 6:00,hurricane,1,75,991,218.6482,28.7695
Emily,7/14/2005 12:00,hurricane,2,85,980,207.1404,46.0312
Emily,7/14/2005 18:00,hurricane,3,100,971,189.8787,46.0312
Emily,7/15/2005 0:00,hurricane,3,110,959,212.8943,46.0312
Emily,7/15/2005 18:00,hurricane,2,95,969,230.156,46.0312
Emily,7/16/2005 0:00,hurricane,3,110,958,207.1404,57.539
Emily,7/18/2005 12:00,hurricane,1,65,975,247.4177,34.5234
Emily,7/18/2005 18:00,hurricane,1,65,984,172.617,34.5234
Emily,7/19/2005 0:00,hurricane,1,75,981,201.3865,34.5234
Emily,7/19/2005 6:00,hurricane,1,80,980,207.1404,57.539
Emily,7/19/2005 12:00,hurricane,1,80,977,235.9099,63.2929
Emily,7/19/2005 18:00,hurricane,2,85,959,253.1716,80.5546
Emily,7/20/2005 0:00,hurricane,3,110,948,264.6794,97.8163
Emily,7/20/2005 6:00,hurricane,3,110,944,264.6794,97.8163
Emily,7/20/2005 12:00,hurricane,3,110,944,247.4177,97.8163
Emily,7/20/2005 18:00,tropical storm,1,70,975,218.6482,69.0468
Emily,7/21/2005 0:00,tropical storm,0,45,995,138.0936,0
Emily,7/21/2005 6:00,tropical depression,-1,30,1000,0,0
Emily,7/21/2005 12:00,tropical depression,-1,25,1007,0,0
Franklin,7/21/2005 18:00,tropical depression,-1,30,1010,0,0
Franklin,7/22/2005 0:00,tropical storm,0,40,1009,40.2773,0
Franklin,7/22/2005 6:00,tropical storm,0,40,1008,40.2773,0
Franklin,7/22/2005 12:00,tropical storm,0,45,1007,34.5234,0
Franklin,7/22/2005 18:00,tropical storm,0,45,1006,51.7851,0
Franklin,7/23/2005 0:00,tropical storm,0,45,1003,86.3085,0
Franklin,7/23/2005 6:00,tropical storm,0,50,1001,115.078,0
Franklin,7/23/2005 12:00,tropical storm,0,60,1001,132.3397,0
